play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
430774,2655,NO,1,1,10,23,0,62085,2010
430775,2655,NO,2,1,10,51,0,NULL,2010
430776,2655,NO,3,1,10,63,0,NULL,2010
430777,2655,NO,4,2,10,63,0,NULL,2010
430778,2655,NO,5,3,2,71,7,NULL,2010
430781,2655,MIN,1,1,10,20,0,62086,2010
430782,2655,MIN,2,2,7,23,0,NULL,2010
430783,2655,MIN,3,3,2,28,0,NULL,2010
430785,2655,NO,1,1,10,27,0,62087,2010
430786,2655,NO,2,2,12,25,0,NULL,2010
430787,2655,NO,3,3,10,27,0,NULL,2010
430789,2655,MIN,1,1,10,30,0,62088,2010
430790,2655,MIN,2,2,1,39,0,NULL,2010
430791,2655,MIN,3,3,1,39,0,NULL,2010
430792,2655,MIN,4,1,10,41,0,NULL,2010
430795,2655,MIN,5,2,30,21,0,NULL,2010
430796,2655,MIN,6,3,16,35,0,NULL,2010
430798,2655,NO,1,1,10,4,0,62089,2010
430799,2655,NO,2,2,9,5,0,NULL,2010
430801,2655,NO,3,1,15,26,0,NULL,2010
430802,2655,NO,4,2,15,26,0,NULL,2010
430803,2655,NO,5,1,10,45,0,NULL,2010
430804,2655,NO,6,2,3,52,0,NULL,2010
430805,2655,NO,7,1,10,58,0,NULL,2010
430806,2655,NO,8,2,10,58,0,NULL,2010
430807,2655,NO,9,3,18,50,0,NULL,2010
430809,2655,MIN,1,1,10,11,0,62090,2010
430810,2655,MIN,2,2,10,11,0,NULL,2010
430811,2655,MIN,3,1,10,22,0,NULL,2010
430812,2655,MIN,4,2,4,28,0,NULL,2010
430813,2655,MIN,5,3,2,30,0,NULL,2010
430814,2655,MIN,6,1,10,38,0,NULL,2010
430815,2655,MIN,7,2,9,39,0,NULL,2010
430817,2655,MIN,8,3,11,37,0,NULL,2010
430818,2655,MIN,9,1,10,51,0,NULL,2010
430819,2655,MIN,10,2,1,60,0,NULL,2010
430820,2655,MIN,11,1,10,64,0,NULL,2010
430821,2655,MIN,12,2,1,73,0,NULL,2010
430822,2655,MIN,13,1,10,76,0,NULL,2010
430823,2655,MIN,14,2,11,75,0,NULL,2010
430824,2655,MIN,15,3,9,77,0,NULL,2010
430825,2655,MIN,16,4,9,77,3,NULL,2010
430828,2655,NO,1,1,20,22,0,NULL,2010
430829,2655,NO,2,2,14,28,0,NULL,2010
430831,2655,NO,3,3,19,23,0,NULL,2010
430833,2655,MIN,1,1,10,18,0,62092,2010
430834,2655,MIN,2,1,10,30,0,NULL,2010
430835,2655,MIN,3,2,9,31,0,NULL,2010
430836,2655,NO,1,1,10,71,0,62093,2010
430837,2655,NO,2,2,11,70,0,NULL,2010
430838,2655,NO,3,3,9,72,0,NULL,2010
430839,2655,NO,4,4,9,72,0,NULL,2010
430840,2655,MIN,1,1,10,36,0,62094,2010
430841,2655,MIN,2,2,4,42,0,NULL,2010
430842,2655,MIN,3,3,1,45,0,NULL,2010
430843,2655,MIN,4,1,10,47,0,NULL,2010
430844,2655,MIN,5,1,10,80,6,NULL,2010
430847,2655,NO,1,1,10,26,0,62095,2010
430848,2655,NO,2,2,8,28,0,NULL,2010
430850,2655,MIN,1,1,10,19,0,62096,2010
430851,2655,MIN,2,1,10,32,0,NULL,2010
430852,2655,MIN,3,2,4,38,0,NULL,2010
430853,2655,MIN,4,3,3,39,0,NULL,2010
430855,2655,NO,1,1,10,26,0,62097,2010
430856,2655,NO,2,2,10,26,0,NULL,2010
430857,2655,NO,3,1,10,37,0,NULL,2010
430858,2655,NO,4,2,4,43,0,NULL,2010
430859,2655,NO,5,1,10,48,0,NULL,2010
430860,2655,NO,6,2,1,57,0,NULL,2010
430861,2655,NO,7,1,10,63,0,NULL,2010
430863,2655,NO,8,2,8,65,0,NULL,2010
430864,2655,NO,9,1,10,79,0,NULL,2010
430865,2655,NO,10,1,6,94,0,NULL,2010
430866,2655,NO,11,2,1,99,7,NULL,2010
430869,2655,MIN,1,1,10,16,0,62098,2010
430870,2655,MIN,2,2,9,17,0,NULL,2010
430871,2655,MIN,3,3,9,17,0,NULL,2010
430873,2655,NO,1,1,10,31,0,62099,2010
430874,2655,NO,2,2,8,33,0,NULL,2010
430875,2655,NO,3,3,7,34,0,NULL,2010
430877,2655,MIN,1,1,10,31,0,62100,2010
430878,2655,MIN,2,2,4,37,0,NULL,2010
430879,2655,MIN,3,3,13,28,0,NULL,2010
430881,2655,NO,1,1,10,26,0,62101,2010
430882,2655,NO,2,2,9,27,0,NULL,2010
