game_id,home_team,win
3020,OAK,0
3021,MIN,0
3022,DAL,1
3023,NO,1
3024,JAC,1
3025,STL,1
3026,NYG,1
3027,BAL,1
3028,CAR,0
3029,TEN,1
3030,HOU,1
3031,DEN,0
3032,BUF,1
3033,SEA,0
3034,SF,1
3035,PIT,1
3036,PHI,1
3037,KC,1
3038,KC,0
3039,NO,1
3040,IND,0
3041,HOU,1
3042,BUF,0
3043,WAS,0
3044,DAL,1
3045,TEN,0
3046,OAK,0
3047,NE,0
3048,ARI,1
3049,SD,0
3050,PIT,0
3051,PHI,0
3052,SD,0
3053,CHI,1
3054,IND,0
3055,KC,0
3056,CIN,0
3057,DAL,1
3058,ATL,0
3059,CLE,0
3060,MIA,1
3061,TB,0
3062,CAR,0
3063,PHI,0
3064,SEA,1
3065,SF,1
3066,NYJ,0
3067,GB,1
3068,DEN,1
3069,DET,1
3070,GB,1
3071,WAS,0
3072,MIA,1
3073,CLE,1
3074,ATL,1
3075,MIN,0
3076,BAL,1
3077,STL,0
3078,SF,1
3079,CHI,1
3080,NYG,0
3081,NE,1
3082,DET,0
3083,DAL,1
3084,BAL,1
3085,ATL,1
3086,JAC,0
3087,TEN,1
3088,STL,0
3089,CIN,1
3090,NYJ,1
3091,IND,0
3092,SEA,0
3093,OAK,1
3094,PHI,0
3095,SD,0
3096,KC,0
3097,NO,1
3098,SEA,1
3099,MIA,1
3100,HOU,1
3101,BUF,0
3102,CHI,0
3103,WAS,0
3104,PIT,1
3105,CLE,0
3106,TB,0
3107,NE,1
3108,MIN,0
3109,ARI,1
3110,SF,1
3111,NYG,0
3112,NO,1
3113,JAC,0
3114,PIT,1
3115,JAC,1
3116,WAS,0
3117,CIN,0
3118,NYJ,1
3119,DET,1
3120,TEN,0
3121,MIA,0
3122,GB,1
3123,BAL,1
3124,CAR,0
3125,DEN,1
3126,ARI,1
3127,SD,1
3128,DAL,0
3129,SEA,1
3130,ATL,1
3131,TB,0
3132,STL,0
3133,BUF,0
3134,NYG,0
3135,IND,1
3136,CHI,0
3137,KC,1
3138,HOU,0
3139,MIN,0
3140,OAK,0
3141,ARI,1
3142,PHI,1
3143,DEN,0
3144,SD,1
3145,SF,1
3146,IND,1
3147,NE,1
3148,BAL,1
3149,CIN,1
3150,WAS,0
3151,BUF,1
3152,PIT,1
3153,NYJ,0
3154,CAR,1
3155,TEN,1
3156,KC,0
3157,DET,1
3158,DAL,0
3159,SEA,0
3160,GB,1
3161,NO,1
3162,PHI,1
3163,CLE,0
3164,CIN,0
3165,MIA,1
3166,NO,1
3167,ATL,1
3168,GB,1
3169,STL,0
3170,JAC,1
3171,NE,1
3172,HOU,0
3173,MIN,0
3174,DEN,0
3175,OAK,0
3176,ARI,1
3177,NYG,1
3178,HOU,1
3179,NO,1
3180,NYG,1
3181,DEN,1
3182,SF,1
3183,NE,1
3184,BAL,1
3185,GB,0
3186,NE,1
3187,SF,0
3188,NE,0
3189,NYG,0
3190,CHI,1
3191,CLE,0
3192,KC,0
3193,NYJ,1
3194,DET,1
3195,NO,0
3196,HOU,1
3197,TEN,0
3198,MIN,1
3199,TB,1
3200,ARI,1
3201,GB,0
3202,DEN,1
3203,BAL,1
3204,OAK,0
3205,GB,1
3206,CIN,1
3207,BUF,1
3208,IND,1
3209,PHI,1
3210,NYG,1
3211,JAC,0
3212,CAR,1
3213,NE,0
3214,STL,1
3215,SEA,1
3216,SD,1
3217,MIA,1
3218,PIT,1
3219,SF,1
3220,ATL,1
3221,CAR,0
3222,CHI,1
3223,CLE,0
3224,IND,0
3225,DAL,1
3226,MIA,0
3227,WAS,0
3228,NO,0
3229,TEN,1
3230,MIN,1
3231,ARI,1
3232,SD,0
3233,DEN,0
3234,OAK,1
3235,BAL,1
3236,SEA,1
3237,BAL,1
3238,BUF,0
3239,KC,0
3240,ATL,1
3241,NYJ,0
3242,DET,0
3243,STL,1
3244,HOU,1
3245,DEN,1
3246,ARI,1
3247,JAC,0
3248,TB,0
3249,GB,1
3250,PHI,1
3251,DAL,0
3252,STL,1
3253,CIN,0
3254,KC,0
3255,IND,1
3256,NYG,1
3257,WAS,0
3258,PIT,1
3259,MIN,1
3260,JAC,0
3261,CAR,0
3262,SF,1
3263,NE,1
3264,NO,1
3265,NYJ,0
3266,TEN,1
3267,CLE,1
3268,TB,1
3269,MIA,1
3270,PHI,0
3271,ATL,1
3272,NYJ,1
3273,BAL,1
3274,ARI,0
3275,SEA,1
3276,SF,0
3277,WAS,1
3278,HOU,0
3279,SD,0
3280,SF,1
3281,BUF,0
3282,TB,0
3283,IND,1
3284,NYG,1
3285,CAR,0
3286,STL,0
3287,HOU,1
3288,MIN,1
3289,NE,1
3290,OAK,1
3291,CIN,0
3292,CHI,1
3293,MIN,0
3294,CHI,1
3295,CLE,1
3296,PHI,0
3297,NYJ,0
3298,DET,1
3299,GB,1
3300,STL,0
3301,PIT,1
3302,TEN,0
3303,KC,0
3304,DAL,0
3305,DEN,1
3306,ARI,0
3307,SD,1
3308,CIN,0
3309,CLE,0
3310,JAC,0
3311,GB,1
3312,WAS,0
3313,HOU,1
3314,TEN,0
3315,IND,1
3316,OAK,0
3317,SEA,1
3318,NYG,0
3319,ATL,1
3320,NO,1
3321,JAC,0
3322,CIN,1
3323,TB,1
3324,MIA,0
3325,CAR,0
3326,NE,1
3327,BAL,1
3328,NO,1
3329,MIN,1
3330,SEA,1
3332,PHI,0
3333,CHI,0
3334,PIT,1
3335,BUF,1
3336,DEN,1
3337,KC,0
3338,DAL,1
3339,ATL,1
3340,DET,0
3341,CAR,0
3342,NE,1
3343,STL,0
3344,WAS,1
3345,HOU,1
3346,OAK,0
3347,PIT,0
3348,SF,1
3349,DET,0
3350,DAL,0
3351,NYJ,0
3352,CHI,1
3353,CIN,1
3354,CLE,1
3355,TB,0
3356,KC,0
3357,IND,1
3358,MIA,1
3359,JAC,1
3360,SD,0
3361,ARI,0
3362,NO,0
3363,NYG,1
3364,PHI,0
3365,ATL,1
3366,CHI,0
3367,BUF,1
3368,KC,1
3369,MIA,0
3370,NYJ,1
3371,DET,0
3372,GB,1
3373,STL,1
3374,TEN,0
3375,DEN,1
3376,SD,0
3377,OAK,0
3378,BAL,0
3379,DAL,1
3380,WAS,1
3381,OAK,0
3382,CIN,0
3383,BUF,0
3384,CLE,1
3385,TB,0
3386,IND,1
3387,JAC,0
3388,CAR,1
3389,WAS,1
3390,PIT,0
3391,MIN,1
3392,SF,1
3393,NYG,1
3394,SEA,1
3395,GB,1
3396,NE,1
3397,PHI,0
3398,CHI,0
3399,CLE,0
3400,MIA,1
3401,ATL,1
3402,STL,0
3403,BAL,0
3404,NO,1
3405,HOU,1
3406,BUF,0
3407,ARI,1
3408,SD,0
