play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
607965,3723,GB,1,1,10,13,0,87258,2014
607967,3723,GB,2,1,10,24,0,NULL,2014
607968,3723,GB,3,1,10,39,0,NULL,2014
607969,3723,GB,4,2,8,41,0,NULL,2014
607970,3723,GB,5,3,10,39,0,NULL,2014
607972,3723,SEA,1,1,10,35,0,87259,2014
607973,3723,SEA,2,2,6,39,0,NULL,2014
607974,3723,SEA,3,3,1,44,0,NULL,2014
607975,3723,SEA,4,1,10,48,0,NULL,2014
607976,3723,SEA,5,2,2,56,0,NULL,2014
607977,3723,SEA,6,3,2,56,0,NULL,2014
607979,3723,SEA,7,1,10,61,0,NULL,2014
607980,3723,SEA,8,1,10,74,0,NULL,2014
607981,3723,SEA,9,2,10,74,0,NULL,2014
607982,3723,SEA,10,3,5,79,0,NULL,2014
607983,3723,SEA,11,4,1,83,3,NULL,2014
607985,3723,GB,1,1,10,20,0,87260,2014
607986,3723,GB,2,1,10,31,0,NULL,2014
607987,3723,GB,3,2,15,26,0,NULL,2014
607988,3723,GB,4,3,15,26,0,NULL,2014
607990,3723,GB,1,1,10,66,0,87261,2014
607991,3723,GB,2,2,10,66,0,NULL,2014
607992,3723,GB,3,3,8,68,0,NULL,2014
607993,3723,GB,4,1,10,76,0,NULL,2014
607994,3723,GB,5,1,8,92,0,NULL,2014
607995,3723,GB,6,2,2,98,7,NULL,2014
607999,3723,SEA,1,1,20,10,0,NULL,2014
608000,3723,SEA,2,2,10,20,0,NULL,2014
608001,3723,SEA,3,3,1,29,0,NULL,2014
608002,3723,SEA,4,1,10,36,0,NULL,2014
608003,3723,SEA,5,2,12,34,0,NULL,2014
608004,3723,SEA,6,1,10,67,7,NULL,2014
608007,3723,GB,1,1,10,16,0,87263,2014
608008,3723,GB,2,2,9,17,0,NULL,2014
608009,3723,GB,3,3,5,21,0,NULL,2014
608010,3723,GB,4,1,10,32,0,NULL,2014
608011,3723,GB,5,2,7,35,0,NULL,2014
608012,3723,GB,6,3,4,38,0,NULL,2014
608013,3723,GB,7,1,10,44,0,NULL,2014
608014,3723,GB,8,2,8,46,0,NULL,2014
608016,3723,GB,9,1,7,93,0,NULL,2014
608017,3723,GB,10,2,7,93,0,NULL,2014
608018,3723,GB,11,3,5,95,0,NULL,2014
608019,3723,GB,12,4,5,95,3,NULL,2014
608021,3723,SEA,1,1,10,30,0,87264,2014
608022,3723,SEA,2,1,10,54,0,NULL,2014
608024,3723,SEA,3,2,5,59,0,NULL,2014
608025,3723,SEA,4,1,10,80,0,NULL,2014
608026,3723,SEA,5,2,1,89,0,NULL,2014
608027,3723,SEA,6,1,9,91,7,NULL,2014
608030,3723,GB,1,1,10,20,0,87265,2014
608031,3723,GB,2,1,10,38,0,NULL,2014
608032,3723,GB,3,2,10,38,0,NULL,2014
608033,3723,GB,4,1,10,49,0,NULL,2014
608034,3723,GB,5,2,4,55,0,NULL,2014
608035,3723,GB,6,3,4,55,0,NULL,2014
608037,3723,SEA,1,1,10,18,0,87266,2014
608039,3723,SEA,2,1,10,27,0,NULL,2014
608040,3723,SEA,3,2,3,34,0,NULL,2014
608041,3723,SEA,4,3,3,34,0,NULL,2014
608042,3723,SEA,5,1,10,41,0,NULL,2014
608043,3723,SEA,6,2,10,41,0,NULL,2014
608045,3723,SEA,1,1,10,14,0,87267,2014
608046,3723,SEA,2,1,10,28,0,NULL,2014
608047,3723,SEA,3,2,1,37,0,NULL,2014
608048,3723,SEA,4,1,10,41,0,NULL,2014
608049,3723,SEA,5,2,10,41,0,NULL,2014
608050,3723,SEA,6,3,10,41,0,NULL,2014
608052,3723,GB,1,1,10,14,0,87268,2014
608053,3723,SEA,1,1,8,92,0,87269,2014
608054,3723,SEA,2,2,8,92,0,NULL,2014
608055,3723,SEA,3,3,3,97,0,NULL,2014
608056,3723,SEA,4,4,2,98,3,NULL,2014
