play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
474406,2922,GB,1,1,10,24,0,68342,2011
474407,2922,GB,2,2,1,33,0,NULL,2011
474408,2922,GB,3,1,10,37,0,NULL,2011
474409,2922,GB,4,2,4,43,0,NULL,2011
474410,2922,GB,5,3,12,35,0,NULL,2011
474411,2922,GB,6,1,10,51,0,NULL,2011
474412,2922,GB,7,1,10,87,0,NULL,2011
474413,2922,GB,8,2,9,88,0,NULL,2011
474414,2922,GB,9,3,4,93,7,NULL,2011
474417,2922,NO,1,1,10,20,0,68343,2011
474418,2922,NO,2,2,7,23,0,NULL,2011
474419,2922,GB,1,1,10,64,0,68344,2011
474420,2922,GB,2,2,5,69,0,NULL,2011
474421,2922,GB,3,1,10,79,0,NULL,2011
474422,2922,GB,4,1,6,94,0,NULL,2011
474424,2922,GB,5,2,11,89,0,NULL,2011
474425,2922,GB,6,3,3,97,7,NULL,2011
474428,2922,NO,1,1,10,20,0,68345,2011
474429,2922,NO,2,2,10,20,0,NULL,2011
474430,2922,NO,3,3,6,24,0,NULL,2011
474431,2922,NO,4,1,10,60,0,NULL,2011
474432,2922,NO,5,2,2,68,0,NULL,2011
474433,2922,NO,6,3,1,69,7,NULL,2011
474437,2922,GB,1,1,10,20,0,68346,2011
474438,2922,GB,2,2,8,22,0,NULL,2011
474440,2922,GB,3,1,15,37,0,NULL,2011
474441,2922,GB,4,2,12,40,0,NULL,2011
474442,2922,GB,5,3,2,50,0,NULL,2011
474443,2922,GB,6,1,10,68,7,NULL,2011
474446,2922,NO,1,1,10,17,0,68347,2011
474447,2922,NO,2,2,10,17,0,NULL,2011
474448,2922,NO,3,1,10,38,0,NULL,2011
474449,2922,NO,4,2,8,40,0,NULL,2011
474450,2922,NO,5,1,10,59,0,NULL,2011
474452,2922,NO,6,2,13,56,0,NULL,2011
474453,2922,NO,7,3,14,55,0,NULL,2011
474454,2922,NO,8,1,10,71,0,NULL,2011
474455,2922,NO,9,2,6,75,0,NULL,2011
474456,2922,NO,10,3,1,80,0,NULL,2011
474457,2922,NO,11,1,10,82,0,NULL,2011
474458,2922,NO,12,2,4,88,0,NULL,2011
474459,2922,NO,13,3,4,88,0,NULL,2011
474460,2922,NO,14,4,4,88,3,NULL,2011
474462,2922,GB,1,1,10,20,0,68348,2011
474463,2922,GB,2,2,10,20,0,NULL,2011
474464,2922,GB,3,3,10,20,0,NULL,2011
474468,2922,GB,1,1,10,20,0,68349,2011
474469,2922,GB,2,2,7,23,0,NULL,2011
474470,2922,GB,3,3,7,23,0,NULL,2011
474471,2922,GB,4,1,10,36,0,NULL,2011
474472,2922,GB,5,2,2,44,0,NULL,2011
474473,2922,GB,6,3,2,44,0,NULL,2011
474474,2922,GB,7,1,10,49,0,NULL,2011
474475,2922,GB,8,1,10,59,0,NULL,2011
474476,2922,GB,9,2,11,58,0,NULL,2011
474478,2922,GB,10,1,5,77,0,NULL,2011
474479,2922,GB,11,2,1,81,0,NULL,2011
474480,2922,GB,12,3,3,79,0,NULL,2011
474481,2922,GB,13,1,10,83,0,NULL,2011
474482,2922,GB,14,2,10,83,7,NULL,2011
474485,2922,NO,1,1,10,20,0,68350,2011
474486,2922,NO,2,2,10,20,0,NULL,2011
474487,2922,NO,3,1,10,35,0,NULL,2011
474488,2922,NO,4,2,2,43,0,NULL,2011
474489,2922,NO,5,3,2,43,0,NULL,2011
474490,2922,NO,6,1,10,59,0,NULL,2011
474491,2922,NO,7,2,10,59,0,NULL,2011
474492,2922,NO,8,3,10,59,0,NULL,2011
474494,2922,GB,1,1,10,20,0,68351,2011
474496,2922,NO,1,1,10,20,0,68352,2011
474497,2922,NO,2,2,9,21,0,NULL,2011
474498,2922,NO,3,1,10,30,0,NULL,2011
474499,2922,NO,4,2,10,30,0,NULL,2011
474500,2922,NO,5,3,1,39,0,NULL,2011
474501,2922,NO,6,1,10,41,0,NULL,2011
474502,2922,NO,7,2,1,50,0,NULL,2011
474503,2922,NO,8,1,10,55,0,NULL,2011
474504,2922,NO,9,2,5,60,0,NULL,2011
474505,2922,NO,10,1,10,70,0,NULL,2011
474506,2922,NO,11,1,10,85,0,NULL,2011
474507,2922,NO,12,2,7,88,0,NULL,2011
474509,2922,NO,13,3,2,93,0,NULL,2011
474510,2922,NO,14,4,15,80,3,NULL,2011
474514,2922,NO,1,1,10,54,0,68353,2011
474515,2922,NO,2,2,12,52,0,NULL,2011
474516,2922,NO,3,1,10,71,7,NULL,2011
474519,2922,GB,1,1,10,20,0,68354,2011
474520,2922,GB,2,2,3,27,0,NULL,2011
474521,2922,GB,3,3,3,27,0,NULL,2011
474523,2922,NO,1,1,10,51,0,68355,2011
474524,2922,NO,2,1,10,64,0,NULL,2011
474525,2922,NO,3,1,10,84,0,NULL,2011
474526,2922,NO,4,2,3,91,0,NULL,2011
474527,2922,NO,5,3,1,93,0,NULL,2011
474528,2922,NO,6,4,1,93,0,NULL,2011
474529,2922,GB,1,1,10,7,0,68356,2011
474530,2922,GB,2,2,6,11,0,NULL,2011
474531,2922,GB,3,1,10,33,0,NULL,2011
