game_id,team,average_starting_field_position,season
3550,NYJ,25.5714,2013
3551,JAC,23.5000,2013
3551,SD,23.0000,2013
3552,HOU,25.3636,2013
3552,KC,30.6364,2013
3553,BUF,26.3077,2013
3553,MIA,29.4286,2013
3554,CIN,25.4000,2013
3554,DET,22.7000,2013
3555,DAL,31.2000,2013
3555,PHI,22.0714,2013
3556,CAR,30.0909,2013
3556,STL,25.2727,2013
3557,CHI,34.8462,2013
3557,WAS,18.6667,2013
3558,SF,27.3636,2013
3558,TEN,21.0909,2013
3559,BAL,30.0000,2013
3559,PIT,32.8750,2013
3560,CLE,37.6667,2013
3560,GB,29.4000,2013
3561,DEN,24.8824,2013
3561,IND,35.9444,2013
3562,MIN,33.2308,2013
3562,NYG,32.2667,2013
3563,CAR,34.5455,2013
3563,TB,19.0909,2013
3564,DAL,38.2000,2013
3564,DET,22.7143,2013
3565,NYG,31.2308,2013
3565,PHI,20.9091,2013
3566,CLE,21.6364,2013
3566,KC,27.4167,2013
3567,BUF,22.8333,2013
3567,NO,38.6667,2013
3568,JAC,26.1111,2013
3568,SF,21.5556,2013
3569,MIA,27.5000,2013
3569,NE,32.2308,2013
3570,OAK,27.5333,2013
3570,PIT,34.2667,2013
3571,CIN,29.1000,2013
3571,NYJ,24.1538,2013
3572,DEN,34.0000,2013
3572,WAS,26.2857,2013
3573,ARI,31.0000,2013
3573,ATL,27.1538,2013
3574,GB,31.5000,2013
3574,MIN,22.7500,2013
3575,SEA,29.8182,2013
3575,STL,26.7273,2013
3576,CIN,23.1333,2013
3576,MIA,24.9231,2013
3577,BUF,16.5833,2013
3577,KC,31.5000,2013
3578,ATL,18.4167,2013
3578,CAR,33.2000,2013
3579,SD,19.5556,2013
3579,WAS,21.6667,2013
3580,NO,21.7500,2013
3580,NYJ,36.1667,2013
3581,STL,27.0000,2013
3581,TEN,28.0769,2013
3582,DAL,24.1000,2013
3582,MIN,27.8333,2013
3583,SEA,31.2000,2013
3583,TB,22.5455,2013
3584,OAK,20.8571,2013
