game_id,visiting_team,win
2655,MIN,0
2656,MIA,1
2657,DET,0
2658,OAK,0
2659,CIN,0
2660,CAR,0
2661,ATL,0
2662,CLE,0
2663,DEN,0
2664,IND,0
2665,SF,0
2666,GB,1
2667,ARI,1
2668,DAL,0
2669,BAL,1
2670,SD,0
2671,ARI,0
2672,BAL,0
2673,KC,1
2674,CHI,1
2675,PHI,1
2676,BUF,0
2677,PIT,1
2678,MIA,1
2679,TB,1
2680,STL,0
2681,SEA,0
2682,NE,0
2683,JAC,0
2684,HOU,1
2685,NYG,0
2686,NO,1
2687,DET,0
2688,BUF,0
2689,ATL,1
2690,TEN,1
2691,SF,0
2692,PIT,1
2693,CIN,1
2694,CLE,0
2695,DAL,1
2696,PHI,1
2697,WAS,0
2698,OAK,0
2699,SD,0
2700,IND,1
2701,NYJ,1
2702,GB,0
2703,SF,0
2704,NYJ,1
2705,CIN,0
2706,DET,0
2707,DEN,1
2708,SEA,0
2709,CAR,0
2710,BAL,1
2711,IND,0
2712,HOU,1
2713,ARI,0
2714,WAS,1
2715,CHI,0
2716,NE,1
2717,JAC,1
2718,TB,1
2719,ATL,1
2720,STL,0
2721,KC,0
2722,GB,0
2723,CHI,1
2724,DEN,0
2725,NYG,1
2726,NO,0
2727,SD,0
2728,TEN,1
2729,PHI,1
2730,MIN,0
2731,SEA,1
2732,MIA,1
2733,SD,0
2734,BAL,0
2735,DET,0
2736,ATL,0
2737,CLE,0
2738,KC,0
2739,NO,1
2740,OAK,0
2741,NYJ,1
2742,DAL,0
2743,IND,1
2744,TEN,1
2745,CIN,0
2746,WAS,1
2747,PHI,0
2748,JAC,0
2749,PIT,1
2750,CLE,1
2751,STL,0
2752,SF,0
2753,BUF,0
2754,ARI,0
2755,NE,1
2756,OAK,1
2757,MIN,0
2758,NYG,1
2759,MIA,1
2760,JAC,1
2761,WAS,0
2762,BUF,0
2763,CAR,0
2764,GB,1
2765,DEN,0
2766,TEN,0
2767,TB,1
2768,MIN,0
