play_id,game_id,team,play_number_in_drive,down,distance,yardline,points_scored,drive_id,season
518568,3189,NYG,1,1,10,16,0,74654,2012
518569,3189,NYG,2,2,10,16,0,NULL,2012
518570,3189,NYG,3,3,5,21,0,NULL,2012
518572,3189,DAL,1,1,10,24,0,74655,2012
518573,3189,DAL,2,2,7,27,0,NULL,2012
518574,3189,DAL,3,3,15,19,0,NULL,2012
518576,3189,NYG,1,1,10,13,0,74656,2012
518577,3189,NYG,2,2,8,15,0,NULL,2012
518578,3189,NYG,3,3,5,18,0,NULL,2012
518579,3189,NYG,4,1,10,44,0,NULL,2012
518581,3189,NYG,5,2,6,48,0,NULL,2012
518582,3189,NYG,6,1,10,58,0,NULL,2012
518583,3189,NYG,7,2,7,61,0,NULL,2012
518584,3189,NYG,8,1,10,69,0,NULL,2012
518585,3189,NYG,9,2,8,71,0,NULL,2012
518586,3189,DAL,1,1,10,34,0,74657,2012
518588,3189,DAL,2,2,13,31,0,NULL,2012
518589,3189,DAL,3,3,4,40,0,NULL,2012
518591,3189,DAL,4,1,15,49,0,NULL,2012
518592,3189,DAL,5,2,10,54,0,NULL,2012
518593,3189,DAL,6,3,10,54,0,NULL,2012
518594,3189,DAL,7,4,1,63,0,NULL,2012
518595,3189,NYG,1,1,10,37,0,74658,2012
518596,3189,NYG,2,1,10,47,0,NULL,2012
518597,3189,NYG,3,2,7,50,0,NULL,2012
518598,3189,NYG,4,3,2,55,0,NULL,2012
518599,3189,NYG,5,1,10,59,0,NULL,2012
518600,3189,NYG,6,2,25,44,0,NULL,2012
518601,3189,NYG,7,3,14,55,0,NULL,2012
518603,3189,DAL,1,1,10,20,0,74659,2012
518604,3189,DAL,2,1,10,38,0,NULL,2012
518605,3189,DAL,3,2,11,37,0,NULL,2012
518607,3189,DAL,4,3,8,40,0,NULL,2012
518608,3189,NYG,1,1,1,99,0,74660,2012
518609,3189,NYG,2,2,3,97,0,NULL,2012
518610,3189,NYG,3,3,4,96,0,NULL,2012
518611,3189,NYG,4,4,4,96,3,NULL,2012
518613,3189,DAL,1,1,10,20,0,74661,2012
518614,3189,DAL,2,2,8,22,0,NULL,2012
518615,3189,DAL,3,1,10,32,0,NULL,2012
518617,3189,DAL,4,2,12,30,0,NULL,2012
