,TwoStars,ThreeStars,FourStars,FiveStars,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,ResponsiveRevThous
count,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0
mean,33.37830687830688,44.13756613756614,14.148148148148149,1.2566137566137565,1.7940026455026457,7.93989417989418,56468.02380952381,6.420634920634921,6.542328042328043,0.5317460317460317,0.17724867724867724,2376952.8824613756,88.31129629629629,0.2945876005687831,0.5767195767195767,1.812169312169312,27127.873407407413
std,25.266794037735846,17.6661379819099,16.137481594456293,2.5189512288631466,10.246744309889245,1.9252277386159613,22394.333333939194,0.7285737814097388,6.177271326240364,0.49965252546581845,0.3823851524825389,1460976.7803608642,2.9500278579877888,0.24803846826629825,0.49473389218040126,3.3708313566415375,24152.792419129215
min,0.0,6.0,0.0,0.0,-23.53,3.27,20000.0,4.0,0.0,0.0,0.0,564376.0,82.0,0.0,0.0,0.0,988.508
25%,12.0,29.0,1.0,0.0,-5.344999999999999,6.68,36096.75,6.0,2.0,0.0,0.0,1443371.125,86.5925,0.0,0.0,0.0,5154.10025
50%,25.0,46.0,9.0,0.0,2.17,7.82,55000.0,6.0,5.0,1.0,0.0,1975239.8,88.215,0.306768145,1.0,0.0,22498.117
75%,58.0,59.0,21.0,1.0,8.7575,9.259999999999998,72000.0,7.0,10.0,1.0,0.0,2842535.2860000003,90.9,0.45711445775000004,1.0,1.0,38974.1795
max,96.0,86.0,62.0,16.0,24.51,13.5,109901.0,8.0,28.0,1.0,1.0,8943010.0,94.86,1.036609775,1.0,14.0,148800.651
