Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Marshall,38019,38019,38019,38019,38019,38019,38019,38019,38019,38019,38019,38019,38019,"38,019","38,019","38,019","38,019"
Maryland,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,51500,"51,802","51,802","51,802","51,802"
Massachusetts,,,,,,,,,,,,,17000,"17,000","17,000","17,000","17,000"
Memphis,62380,62380,62380,62380,62380,62380,62380,62380,62380,62380,62380,61000,62380,"59,308","59,308","59,308","59,308"
Miami (FL),72319,72319,72319,72319,72319,72319,72319,72319,74916,74916,74916,74916,74916,"74,916","74,916","65,326","65,326"
Miami (OH),24286,24286,24286,24286,24286,24286,24286,30012,30012,24286,24286,24286,24286,"24,286","24,286","24,286","24,286"
Michigan,107501,107501,107501,107501,107501,107501,107501,107501,106201,106201,109901,109901,109901,"109,901","109,901","109,901","109,901"
Michigan St.,75005,75005,75005,75005,75005,75005,75005,72027,72027,75005,75005,75005,75005,"75,005","75,005","75,005","75,005"
Middle Tenn.,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,"31,000","31,000","31,000","31,000"
Minnesota,63669,63669,63669,63669,63669,63669,63669,63669,63669,50000,50000,50805,50000,"50,805","52,525","52,525","52,525"
Mississippi St.,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,"55,082","61,337","61,337","61,337"
Missouri,68349,68349,68349,68349,68349,68349,68349,68349,68349,71004,68349,68349,68349,"68,349","68,349","71,168","71,168"
Navy,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,"34,000","34,000","34,000","34,000"
Nebraska,73918,73918,73918,73918,73918,73918,81067,81067,81067,81067,81067,81091,81067,"87,091","87,091","87,091","87,091"
Nevada,31900,31900,31900,31900,31900,31900,31900,31545,29993,29993,29993,29993,29993,"30,000","30,000","30,000","30,000"
New Mexico,38634,38634,38634,38634,38634,38634,38634,38634,38634,39224,39224,39224,39224,"39,224","39,224","39,224","39,224"
New Mexico St.,30343,30343,30343,30343,30343,30343,30343,30343,30343,30343,30343,30343,30343,"30,343","30,343","30,343","30,343"
North Carolina,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,63000,60000,"63,000","63,000","63,000","63,000"
North Carolina St.,51500,51500,51500,51500,51500,57082,57082,57082,57583,57583,57583,57583,57583,"57,583","57,583","57,600","57,600"
North Texas,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,30500,30850,30850,"30,850","30,850","30,850","30,850"
Northern Ill.,31000,31000,31000,31000,31000,28000,28000,31000,31000,31000,31000,31000,31000,"31,000","31,000","23,595","23,595"
Northwestern,47130,47130,47130,47130,47130,47130,47130,47129,47130,47130,46135,47130,47129,"47,129","47,129","47,129","47,129"
Notre Dame,80795,80795,80795,80795,80795,80795,80795,80795,80795,80795,80795,80795,80795,"80,795","80,795","80,795","80,795"
Ohio,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,"24,000","24,000","24,000","24,000"
Ohio St.,101568,101568,101568,101568,101568,101568,101568,102329,102329,102329,102329,102329,102329,"102,329","102,329","102,329","102,329"
Oklahoma,82112,82112,82112,82112,82112,82112,82112,82112,82112,82112,82112,82112,82112,"82,112","82,112","82,112","82,112"
Oklahoma St.,48500,48500,48500,48500,48500,48500,48500,44700,60000,60218,60218,60218,60218,"60,218","60,218","60,218","60,218"
Old Dominion,,,,,,,,,,,,,,,"20,118","20,118","20,118"
Ole Miss,60580,60580,60580,60580,60580,60580,60580,60580,60580,60580,60580,60580,60580,"60,580","60,580","60,580","60,580"
Oregon,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,"54,000","54,000","54,000","54,000"
Oregon St.,43000,43000,43000,43000,43000,43300,43300,46000,45674,45674,45674,45674,45674,"45,674","45,674","45,674","45,674"
Penn St.,106537,106537,106537,106537,106537,106537,106537,107282,107282,107282,107282,106572,107282,"107,282","107,282","106,572","106,572"
Pittsburgh,65000,65000,65000,65000,65000,65000,65000,65000,65500,65500,65000,65000,65000,"65,500","65,500","65,500","65,500"
