Boise St.,2014,"36,387"
Boise St.,2015,"36,387"
Boise St.,2016,"36,387"
Boston College,2000,44500.0
Boston College,2001,44500.0
Boston College,2002,44500.0
Boston College,2003,44500.0
Boston College,2004,44500.0
Boston College,2005,44500.0
Boston College,2006,44500.0
Boston College,2007,44500.0
Boston College,2008,44500.0
Boston College,2009,44500.0
Boston College,2010,44500.0
Boston College,2011,44500.0
Boston College,2012,44500.0
Boston College,2013,"44,500"
Boston College,2014,"44,500"
Boston College,2015,"44,500"
Boston College,2016,"44,500"
Bowling Green,2000,28599.0
Bowling Green,2001,28599.0
Bowling Green,2002,28599.0
Bowling Green,2003,28599.0
Bowling Green,2004,28599.0
Bowling Green,2005,23724.0
Bowling Green,2006,23724.0
Bowling Green,2007,30599.0
Bowling Green,2008,24000.0
Bowling Green,2009,24000.0
Bowling Green,2010,24000.0
Bowling Green,2011,24000.0
Bowling Green,2012,24000.0
Bowling Green,2013,"24,000"
Bowling Green,2014,"24,000"
Bowling Green,2015,"24,000"
Bowling Green,2016,"24,000"
Buffalo,2000,29013.0
Buffalo,2001,29013.0
Buffalo,2002,29013.0
Buffalo,2003,29013.0
Buffalo,2004,29013.0
Buffalo,2005,29013.0
Buffalo,2006,29013.0
Buffalo,2007,64045.0
Buffalo,2008,29013.0
Buffalo,2009,29013.0
Buffalo,2010,29013.0
Buffalo,2011,29013.0
Buffalo,2012,29013.0
Buffalo,2013,"29,013"
Buffalo,2014,"29,013"
Buffalo,2015,"29,013"
Buffalo,2016,"29,013"
BYU,2000,64045.0
BYU,2001,64045.0
BYU,2002,64045.0
BYU,2003,64045.0
BYU,2004,64045.0
BYU,2005,64045.0
BYU,2006,64045.0
BYU,2007,30000.0
BYU,2008,64045.0
BYU,2009,64045.0
BYU,2010,64045.0
BYU,2011,64045.0
BYU,2012,64045.0
BYU,2013,"64,045"
BYU,2014,"64,045"
BYU,2015,"64,045"
BYU,2016,"64,045"
California,2000,67537.0
California,2001,67537.0
California,2002,67537.0
California,2003,67537.0
California,2004,67537.0
California,2005,67537.0
California,2006,67537.0
California,2007,67537.0
California,2008,72516.0
California,2009,71799.0
California,2010,71799.0
California,2011,45000.0
California,2012,71799.0
California,2013,"63,186"
California,2014,"62,467"
California,2015,"62,467"
California,2016,"62,467"
Central Mich.,2000,30199.0
Central Mich.,2001,30199.0
Central Mich.,2002,30199.0
Central Mich.,2003,30199.0
Central Mich.,2004,30199.0
Central Mich.,2005,30199.0
Central Mich.,2006,30199.0
Central Mich.,2007,30199.0
Central Mich.,2008,30255.0
Central Mich.,2009,30255.0
Central Mich.,2010,30255.0
Central Mich.,2011,30255.0
Central Mich.,2012,30255.0
Central Mich.,2013,"30,255"
Central Mich.,2014,"30,255"
Central Mich.,2015,"30,255"
Central Mich.,2016,"30,255"
Charlotte,2015,"15,314"
Charlotte,2016,"15,314"
Cincinnati,2000,35000.0
Cincinnati,2001,35000.0
Cincinnati,2002,35000.0
Cincinnati,2003,35000.0
Cincinnati,2004,35000.0
Cincinnati,2005,35000.0
Cincinnati,2006,35000.0
Cincinnati,2007,35000.0
Cincinnati,2008,35000.0
Cincinnati,2009,35000.0
Cincinnati,2010,35000.0
Cincinnati,2011,35000.0
Cincinnati,2012,35000.0
Cincinnati,2013,"35,000"
Cincinnati,2014,"35,000"
Cincinnati,2015,"35,000"
Cincinnati,2016,"35,000"
Clemson,2000,81473.0
Clemson,2001,81473.0
Clemson,2002,81473.0
Clemson,2003,81473.0
Clemson,2004,81473.0
Clemson,2005,80301.0
Clemson,2006,80301.0
Clemson,2007,81473.0
Clemson,2008,81500.0
Clemson,2009,80301.0
Clemson,2010,80301.0
Clemson,2011,81500.0
Clemson,2012,80301.0
Clemson,2013,"81,500"
Clemson,2014,"81,500"
Clemson,2015,"81,500"
Clemson,2016,"81,500"
Colorado,2000,53750.0
Colorado,2001,53750.0
Colorado,2002,53750.0
Colorado,2003,53750.0
Colorado,2004,53750.0
Colorado,2005,53750.0
Colorado,2006,53750.0
Colorado,2007,50942.0
Colorado,2008,50942.0
Colorado,2009,53613.0
Colorado,2010,53613.0
Colorado,2011,53613.0
Colorado,2012,53613.0
Colorado,2013,"53,613"
Colorado,2014,"53,613"
Colorado,2015,"50,183"
Colorado,2016,"50,183"
Colorado St.,2000,30000.0
Colorado St.,2001,30000.0
Colorado St.,2002,30000.0
Colorado St.,2003,30000.0
Colorado St.,2004,30000.0
Colorado St.,2005,34400.0
Colorado St.,2006,34400.0
Colorado St.,2007,30000.0
Colorado St.,2008,30000.0
Colorado St.,2009,34400.0
Colorado St.,2010,32500.0
Colorado St.,2011,32500.0
Colorado St.,2012,32500.0
Colorado St.,2013,"32,500"
Colorado St.,2014,"32,500"
Colorado St.,2015,"32,500"
Colorado St.,2016,"32,500"
Duke,2000,33941.0
Duke,2001,33941.0
Duke,2002,33941.0
Duke,2003,33941.0
Duke,2004,33941.0
Duke,2005,33941.0
Duke,2006,33941.0
Duke,2007,33941.0
Duke,2008,33941.0
Duke,2009,33941.0
Duke,2010,33941.0
Duke,2011,33941.0
Duke,2012,33941.0
Duke,2013,"33,941"
Duke,2014,"33,941"
Duke,2015,"33,941"
Duke,2016,"33,941"
East Carolina,2000,43000.0
East Carolina,2001,43000.0
East Carolina,2002,43000.0
East Carolina,2003,43000.0
East Carolina,2004,43000.0
East Carolina,2005,43000.0
East Carolina,2006,43000.0
East Carolina,2007,43000.0
East Carolina,2008,43000.0
East Carolina,2009,43000.0
East Carolina,2010,50000.0
East Carolina,2011,50000.0
East Carolina,2012,50000.0
East Carolina,2013,"50,000"
East Carolina,2014,"50,000"
East Carolina,2015,"50,000"
East Carolina,2016,"50,000"
Eastern Mich.,2000,30200.0
Eastern Mich.,2001,30200.0
Eastern Mich.,2002,30200.0
Eastern Mich.,2003,30200.0
Eastern Mich.,2004,30200.0
Eastern Mich.,2005,30200.0
Eastern Mich.,2006,30200.0
Eastern Mich.,2007,30200.0
Eastern Mich.,2008,30200.0
Eastern Mich.,2009,30200.0
Eastern Mich.,2010,30200.0
Eastern Mich.,2011,30200.0
Eastern Mich.,2012,30200.0
Eastern Mich.,2013,"30,200"
Eastern Mich.,2014,"30,200"
Eastern Mich.,2015,"30,200"
Eastern Mich.,2016,"30,200"
FIU,2005,17000.0
FIU,2006,17000.0
FIU,2007,17000.0
FIU,2008,18000.0
FIU,2009,20000.0
FIU,2010,20000.0
FIU,2011,20000.0
FIU,2012,20000.0
FIU,2013,"20,000"
FIU,2014,"20,000"
FIU,2015,"20,000"
FIU,2016,"20,000"
Fla. Atlantic,2004,20540.0
Fla. Atlantic,2005,20540.0
Fla. Atlantic,2006,20540.0
Fla. Atlantic,2007,20450.0
Fla. Atlantic,2008,20450.0
Fla. Atlantic,2009,20450.0
Fla. Atlantic,2010,29260.0
Fla. Atlantic,2011,30000.0
Fla. Atlantic,2012,30000.0
Fla. Atlantic,2013,"29,495"
Fla. Atlantic,2014,"29,495"
Fla. Atlantic,2015,"29,495"
Fla. Atlantic,2016,"29,495"
Florida,2000,88548.0
Florida,2001,88548.0
Florida,2002,88548.0
Florida,2003,88548.0
Florida,2004,88548.0
Florida,2005,88548.0
Florida,2006,88548.0
Florida,2007,88548.0
Florida,2008,88548.0
Florida,2009,88548.0
Florida,2010,88548.0
Florida,2011,88548.0
Florida,2012,88548.0
Florida,2013,"88,548"
Florida,2014,"88,548"
Florida,2015,"88,548"
Florida,2016,"88,548"
Florida St.,2000,82300.0
Florida St.,2001,82300.0
Florida St.,2002,82300.0
Florida St.,2003,82300.0
Florida St.,2004,82300.0
Florida St.,2005,82300.0
Florida St.,2006,82300.0
Florida St.,2007,80000.0
Florida St.,2008,82300.0
Florida St.,2009,82300.0
Florida St.,2010,82300.0
Florida St.,2011,82300.0
Florida St.,2012,82300.0
Florida St.,2013,"82,300"
Florida St.,2014,"82,300"
Florida St.,2015,"82,300"
Florida St.,2016,"82,300"
Fresno St.,2000,41031.0
Fresno St.,2001,41031.0
Fresno St.,2002,41031.0
Fresno St.,2003,41031.0
Fresno St.,2004,41031.0
Fresno St.,2005,41031.0
Fresno St.,2006,41031.0
Fresno St.,2007,41031.0
Fresno St.,2008,41031.0
Fresno St.,2009,41031.0
Fresno St.,2010,41031.0
Fresno St.,2011,41031.0
Fresno St.,2012,41031.0
Fresno St.,2013,"41,031"
Fresno St.,2014,"41,031"
Fresno St.,2015,"41,031"
Fresno St.,2016,"41,031"
Ga. Southern,2014,"25,000"
Ga. Southern,2015,"25,000"
Ga. Southern,2016,"25,000"
Georgia,2000,92746.0
Georgia,2001,92746.0
Georgia,2002,92746.0
Georgia,2003,92746.0
Georgia,2004,92746.0
Georgia,2005,92746.0
Georgia,2006,92746.0
Georgia,2007,92746.0
Georgia,2008,92746.0
Georgia,2009,92746.0
Georgia,2010,92746.0
Georgia,2011,92746.0
Georgia,2012,92746.0
Georgia,2013,"92,746"
Georgia,2014,"92,746"
Georgia,2015,"92,746"
Georgia,2016,"92,746"
Georgia St.,2013,"28,155"
Georgia St.,2014,"28,155"
Georgia St.,2015,"28,155"
Georgia St.,2016,"28,155"
Georgia Tech,2000,55000.0
Georgia Tech,2001,55000.0
Georgia Tech,2002,55000.0
Georgia Tech,2003,55000.0
Georgia Tech,2004,55000.0
Georgia Tech,2005,55000.0
Georgia Tech,2006,55000.0
Georgia Tech,2007,55000.0
Georgia Tech,2008,55000.0
Georgia Tech,2009,55000.0
Georgia Tech,2010,55000.0
Georgia Tech,2011,55000.0
Georgia Tech,2012,55000.0
Georgia Tech,2013,"55,000"
Georgia Tech,2014,"55,000"
Georgia Tech,2015,"55,000"
Georgia Tech,2016,"55,000"
Hawaii,2000,50000.0
Hawaii,2001,50000.0
Hawaii,2002,50000.0
Hawaii,2003,50000.0
Hawaii,2004,50000.0
Hawaii,2005,50000.0
Hawaii,2006,50000.0
