,year,team,num_2_stars_committed,num_3_stars_committed,num_4_stars_committed,num_5_stars_committed
870,2010,virginiatech,0,14,5,0
871,2011,virginiatech,3,14,4,0
872,2012,virginiatech,2,19,7,0
873,2013,virginiatech,0,15,3,1
874,2014,virginiatech,5,13,8,0
875,2006,wakeforest,9,6,0,0
876,2007,wakeforest,14,6,0,0
877,2008,wakeforest,9,8,0,0
878,2009,wakeforest,9,11,0,0
879,2010,wakeforest,6,12,1,0
880,2011,wakeforest,5,11,0,0
881,2012,wakeforest,3,16,0,0
882,2013,wakeforest,7,16,0,0
883,2014,wakeforest,14,11,0,0
884,2006,washington,8,9,4,0
885,2007,washington,8,16,3,0
886,2008,washington,7,14,5,0
887,2009,washington,3,15,1,0
888,2010,washington,2,23,5,0
889,2011,washington,3,15,5,0
890,2012,washington,5,14,5,1
891,2013,washington,0,15,7,0
892,2014,washington,6,14,3,0
893,2006,washingtonstate,10,11,1,0
894,2007,washingtonstate,11,12,1,0
895,2008,washingtonstate,21,6,0,0
896,2009,washingtonstate,10,12,0,0
897,2010,washingtonstate,9,14,0,0
898,2011,washingtonstate,15,10,0,0
899,2012,washingtonstate,10,14,2,0
900,2013,washingtonstate,5,16,1,0
901,2014,washingtonstate,5,14,0,0
902,2006,westernmichigan,22,0,0,0
903,2007,westernmichigan,22,1,0,0
904,2008,westernmichigan,21,1,1,0
905,2009,westernmichigan,21,2,0,0
906,2010,westernmichigan,15,6,0,0
907,2011,westernmichigan,16,4,0,0
908,2012,westernmichigan,22,4,0,0
909,2013,westernmichigan,16,2,0,0
910,2014,westernmichigan,13,14,0,0
911,2006,westvirginia,6,10,0,0
912,2007,westvirginia,7,16,4,1
913,2008,westvirginia,13,10,2,0
914,2009,westvirginia,4,15,6,0
915,2010,westvirginia,2,13,5,0
916,2011,westvirginia,4,15,3,0
917,2012,westvirginia,4,24,1,0
918,2013,westvirginia,4,20,2,0
919,2014,westvirginia,4,14,3,0
920,2006,wisconsin,10,10,3,0
921,2007,wisconsin,4,10,3,1
922,2008,wisconsin,7,14,3,0
923,2009,wisconsin,5,11,5,0
924,2010,wisconsin,3,21,0,0
925,2011,wisconsin,2,15,3,0
926,2012,wisconsin,2,7,3,0
927,2013,wisconsin,4,12,3,0
928,2014,wisconsin,7,14,4,0
929,2006,wku,1,0,0,0
930,2007,wku,17,1,0,0
931,2008,wku,15,2,0,0
932,2009,wku,23,3,0,0
933,2010,wku,14,5,0,0
934,2011,wku,15,11,0,0
935,2012,wku,6,7,0,0
936,2013,wku,28,4,0,0
937,2014,wku,17,7,0,0
938,2006,wyoming,20,1,0,0
939,2007,wyoming,15,6,0,0
940,2008,wyoming,19,3,0,0
941,2009,wyoming,19,3,0,0
942,2010,wyoming,16,6,0,0
943,2011,wyoming,17,8,0,0
944,2012,wyoming,15,4,0,0
945,2013,wyoming,20,2,0,0
946,2014,wyoming,23,0,0,0
