Team,Year,ResponsiveRev,TicketRevFB,ContribsFB,ConcessFB,SponsFB,CampsFB
Eastern Michigan,2012,303934,87702,201015,0,0,15217
Eastern Michigan,2013,396242,311162,53232,495,0,31353
Eastern Michigan,2014,624650,79920,523811,0,0,20919
Florida,2010,53463277,17491482,33840363,1012092,588824,530516
Florida,2011,56780183,17635529,37130529,1043519,548589,422017
Florida,2012,57909498,20319221,35871054,963793,545533,209897
Florida,2013,57501850,21390665,34052885,1060624,825582,172094
Florida,2014,63993697,19157883,42962368,862435,807634,203377
Florida Atlantic,2010,498517,440118,43868,14531,0,0
Florida Atlantic,2011,2183805,1179020,985222,19563,0,0
Florida Atlantic,2012,4357901,1325321,2130294,372136,530150,0
Florida Atlantic,2013,2008777,833436,973247,0,202094,0
Florida Atlantic,2014,3425430,778396,2502017,145017,0,0
Florida International,2010,505200,444485,60715,0,0,0
Florida International,2011,692047,637831,41216,500,12500,0
Florida International,2012,1068017,925973,132044,0,10000,0
Florida International,2013,712146,598810,113071,265,0,0
Florida International,2014,975775,671888,303887,0,0,0
Florida State,2010,13995430,12627830,30000,628042,709558,0
Florida State,2011,30814337,15847234,12704978,821666,1440459,0
Florida State,2012,43346132,17914734,23771792,888390,771216,0
Florida State,2013,34556202,17611185,15297796,898062,749159,0
Florida State,2014,55554154,23315974,22521553,4343697,5372930,0
Fresno State,2010,7109538,5204910,1498031,406597,0,0
Fresno State,2011,8971040,6049168,2371732,550140,0,0
Fresno State,2012,6398562,4765827,1177343,455392,0,0
Fresno State,2013,6721515,4956497,1306170,458848,0,0
Fresno State,2014,11826399,6389576,4866282,570541,0,0
Georgia,2010,49970870,16987157,26556383,1019207,5408123,0
Georgia,2011,53433736,18579959,27600640,1017335,6232250,3552
Georgia,2012,54528959,20574131,26944091,1070448,5936932,3357
Georgia,2013,57168810,22514767,27713657,1304015,5632768,3603
Georgia,2014,60437055,20885883,31866597,1254753,6420201,9621
Georgia State,2014,2080850,511385,1568645,820,0,0
Georgia Tech,2010,17395259,9582933,6573486,1048869,189971,0
Georgia Tech,2011,15437370,7769919,6529198,961009,177244,0
Georgia Tech,2012,19522921,11493232,6531354,1237129,261206,0
Georgia Tech,2013,14657752,6718772,6511055,1127192,300733,0
Georgia Tech,2014,27353669,8867756,17088864,1140561,256488,0
Hawaii,2010,5112920,4559316,434227,0,57955,61422
Hawaii,2011,5458626,4839840,412018,0,171395,35373
Hawaii,2012,5051786,4096702,752053,0,191711,11320
Hawaii,2013,4192670,3475685,489912,0,214943,12130
Hawaii,2014,11371669,10278389,0,1093280,0,0
Houston,2010,3283144,2682807,304428,295909,0,0
Houston,2011,3401818,2766633,242716,392469,0,0
Houston,2012,5159892,4203809,426690,529393,0,0
Houston,2013,3780784,3148269,213614,393901,25000,0
Houston,2014,8639184,2871896,5755363,11925,0,0
Idaho,2010,1442334,610058,804451,4067,10450,13308
Idaho,2011,1918372,998843,819728,30551,5450,63800
Idaho,2012,1473565,489788,926379,27468,5450,24480
Idaho,2013,1107897,706748,277452,17647,5450,100600
Idaho,2014,3366850,704355,2613438,19522,0,29535
Illinois,2010,15331781,10395577,2755321,1061666,1056931,62286
Illinois,2011,15008001,9426634,3054918,1196064,1271345,59040
Illinois,2012,18486263,12661590,3204144,1401321,1136913,82295
Illinois,2013,15401398,9331259,3535125,960298,1461785,112931
Illinois,2014,28688942,9236799,16909059,1006545,1461785,74754
Indiana,2010,6988615,5608592,3719,1148731,227573,0
