Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2006,Ball State University,NCAA Division I-A,1626206,13034936,15538250
2006,Baylor University,NCAA Division I-A,9270595,14337061,40475819
2006,Boise State University,NCAA Division I-A,12123981,7245794,22314219
2006,Boston College,NCAA Division I-A,17452269,18489539,57392077
2006,Bowling Green State University-Main Campus,NCAA Division I-A,4261871,14968555,23524181
2006,Brigham Young University,NCAA Division I-A,10142975,12864961,32100899
2006,California State University-Fresno,NCAA Division I-A,7902336,14028497,25153897
2006,Central Michigan University,NCAA Division I-A,4465376,11165709,20434178
2006,Clemson University,NCAA Division I-A,32029237,11375429,55741548
2006,Colorado State University,NCAA Division I-A,4106247,14200969,19777870
2006,Duke University,NCAA Division I-A,8966170,23925727,47507169
2006,East Carolina University,NCAA Division I-A,6712382,14231821,25080006
2006,Eastern Michigan University,NCAA Division I-A,4653129,4806914,19580253
2006,Elon University,NCAA Division I-AA,290421,9812147,11444438
2006,Florida Atlantic University,NCAA Division I-A,2402510,10734996,14116774
2006,Florida International University,NCAA Division I-A,6466113,6294778,17936027
2006,Florida State University,NCAA Division I-A,17457519,17999016,42165416
2006,Georgia Institute of Technology-Main Campus,NCAA Division I-A,25331130,11417941,49581182
2006,Georgia Southern University,NCAA Division I-AA,702346,5225667,6519930
2006,Georgia State University,NCAA Division I-AAA,,7011096,9239755
2006,Indiana University-Bloomington,NCAA Division I-A,17033871,14734794,44739096
2006,Iowa State University,NCAA Division I-A,10807280,10694143,36876628
2006,Kansas State University,NCAA Division I-A,21730191,19715501,48346511
2006,Kent State University-Kent Campus,NCAA Division I-A,2757760,11412911,17487695
2006,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,48141751,19586140,76499511
2006,Louisiana Tech University,NCAA Division I-A,3152397,7634340,12440515
2006,Marshall University,NCAA Division I-A,6604877,6564762,18965635
2006,Miami University-Oxford,NCAA Division I-A,4819872,6616681,22252089
2006,Michigan State University,NCAA Division I-A,40795755,11980366,73171907
2006,Middle Tennessee State University,NCAA Division I-A,5838119,4972345,17348681
2006,Mississippi State University,NCAA Division I-A,12074969,8343741,25842032
2006,New Mexico State University-Main Campus,NCAA Division I-A,1118277,16162307,19434062
2006,North Carolina State University at Raleigh,NCAA Division I-A,18109836,9901970,42634590
2006,Northern Illinois University,NCAA Division I-A,3361600,12149982,16866401
2006,Northwestern University,NCAA Division I-A,15513675,17617571,40757282
2006,Ohio State University-Main Campus,NCAA Division I-A,59142071,31394875,109382222
2006,Ohio University-Main Campus,NCAA Division I-A,4445964,6420973,18671109
2006,Oklahoma State University-Main Campus,NCAA Division I-A,20412787,12386611,46667284
2006,Old Dominion University,NCAA Division I-AAA,,12271976,15729516
2006,Oregon State University,NCAA Division I-A,28299199,11687116,45409990
2006,Pennsylvania State University-Main Campus,NCAA Division I-A,44014052,18877765,76327504
2006,Purdue University-Main Campus,NCAA Division I-A,25134139,15445589,56293562
2006,Rice University,NCAA Division I-A,9553283,10446613,26031598
2006,Rutgers University-New Brunswick/Piscataway,NCAA Division I-A,15643682,12043633,44050960
2006,San Diego State University,NCAA Division I-A,4508597,19481894,31106320
2006,San Jose State University,NCAA Division I-A,4308283,6841799,16970448
2006,Southern Methodist University,NCAA Division I-A,8678120,5785436,27708145
2006,Stanford University,NCAA Division I-A,12927407,41224254,65480187
2006,SUNY at Buffalo,NCAA Division I-A,4551896,7164506,19724701
2006,Syracuse University,NCAA Division I-A,14866061,4542866,43732382
2006,Temple University,NCAA Division I-A,8717771,5412473,25836567
2006,Texas A & M University,NCAA Division I-A,37123296,17897317,69413648
2006,Texas Christian University,NCAA Division I-A,13257717,8672223,39191874
2006,Texas State University-San Marcos,NCAA Division I-AA,639253,11907735,13300055
2006,Texas Tech University,NCAA Division I-A,20827440,19142786,53561872
2006,The University of Alabama,NCAA Division I-A,53182806,19948998,81946464
2006,The University of Tennessee,NCAA Division I-A,31193706,54094716,95401868
2006,The University of Texas at Austin,NCAA Division I-A,63798068,16719834,105048632
2006,The University of Texas at El Paso,NCAA Division I-A,8157860,4318089,20831731
2006,The University of Texas at San Antonio,NCAA Division I-AAA,,3485582,9184721
2006,Troy University,NCAA Division I-A,3879598,3895789,13089969
2006,Tulane University of Louisiana,NCAA Division I-A,6871440,7583000,19168000
2006,University of Akron Main Campus,NCAA Division I-A,1331447,15298503,17792195
2006,University of Alabama at Birmingham,NCAA Division I-A,6348331,6539466,21600512
2006,University of Arizona,NCAA Division I-A,17489510,7908089,45320053
2006,University of Arkansas Main Campus,NCAA Division I-A,42056467,3099748,63337303
2006,University of California-Berkeley,NCAA Division I-A,26001075,14611461,60538725
2006,University of California-Los Angeles,NCAA Division I-A,23539593,26710857,61309668
2006,University of Central Florida,NCAA Division I-A,4293022,23892096,29639288
2006,University of Cincinnati-Main Campus,NCAA Division I-A,8162664,21008630,34172785
2006,University of Colorado at Boulder,NCAA Division I-A,23101126,13438172,42354657
2006,University of Connecticut,NCAA Division I-A,11976959,26919930,52811643
2006,University of Florida,NCAA Division I-A,58904976,34174221,107781004
2006,University of Georgia,NCAA Division I-A,59516939,4977435,75937460
2006,University of Hawaii at Manoa,NCAA Division I-A,7533652,13925557,26506426
2006,University of Houston,NCAA Division I-A,6925282,12795649,28188613
2006,University of Idaho,NCAA Division I-A,4885021,4118114,12730220
2006,University of Illinois at Urbana-Champaign,NCAA Division I-A,20764472,17276584,56804174
2006,University of Iowa,NCAA Division I-A,45335026,20754172,80203645
2006,University of Kansas Main Campus,NCAA Division I-A,11258985,39273514,65194721
2006,University of Kentucky,NCAA Division I-A,21898082,24470469,60556515
2006,University of Louisiana at Lafayette,NCAA Division I-A,3043713,4387259,10107711
2006,University of Louisiana at Monroe,NCAA Division I-A,3593026,3876949,9122207
2006,University of Louisville,NCAA Division I-A,19023605,11405002,54589997
2006,University of Massachusetts-Amherst,NCAA Division I-AA,3802745,6193269,21447401
2006,University of Memphis,NCAA Division I-A,6457912,10645509,29335795
2006,University of Miami,NCAA Division I-A,20769443,15486290,49219738
2006,University of Michigan-Ann Arbor,NCAA Division I-A,50982629,26842263,89079982
2006,University of Minnesota-Twin Cities,NCAA Division I-A,17390376,29049972,64828596
2006,University of Mississippi Main Campus,NCAA Division I-A,17581209,9277227,33576473
2006,University of Missouri-Columbia,NCAA Division I-A,15284731,23305669,48634512
2006,University of Nebraska at Lincoln,NCAA Division I-A,26264849,39216144,71121812
2006,University of Nevada-Las Vegas,NCAA Division I-A,2768426,16352645,25166518
2006,University of Nevada-Reno,NCAA Division I-A,4446166,9418359,19878194
2006,University of New Mexico-Main Campus,NCAA Division I-A,3265057,17197341,26187718
2006,University of North Carolina at Chapel Hill,NCAA Division I-A,18147854,16481723,58188501
2006,University of North Carolina at Charlotte,NCAA Division I-AAA,,8172202,9743044
2006,University of North Texas,NCAA Division I-A,1433107,14845164,16787101
2006,University of Notre Dame,NCAA Division I-A,63675034,13416010,83586903
2006,University of Oklahoma Norman Campus,NCAA Division I-A,37263255,24112788,69430569
2006,University of Oregon,NCAA Division I-A,21495626,22752457,50489771
2006,University of Pittsburgh-Main Campus,NCAA Division I-A,17545348,5905115,37465582
2006,University of South Alabama,NCAA Division I-AAA,,2035581,8307256
2006,University of South Carolina-Columbia,NCAA Division I-A,41275362,11,60544530
2006,University of South Florida,NCAA Division I-A,9289982,14940800,28160631
2006,University of Southern California,NCAA Division I-A,31705207,38262421,76383688
2006,University of Southern Mississippi,NCAA Division I-A,7221086,3687105,16022899
2006,University of Toledo-Main Campus,NCAA Division I-A,1601476,14346693,16980819
2006,University of Tulsa,NCAA Division I-A,5015376,12247227,24276929
2006,University of Utah,NCAA Division I-A,11184198,7581818,25913332
2006,University of Virginia-Main Campus,NCAA Division I-A,14213380,42928175,64852417
2006,University of Washington-Seattle Campus,NCAA Division I-A,33694962,11843238,59648451
2006,University of Wisconsin-Madison,NCAA Division I-A,34105991,22573938,82579472
2006,University of Wyoming,NCAA Division I-A,6598307,6534993,21031881
2006,Utah State University,NCAA Division I-A,1442827,10536276,12822145
2006,Vanderbilt University,NCAA Division I-A,15219537,14134801,39021876
2006,Virginia Polytechnic Institute and State University,NCAA Division I-A,40634499,12011636,65487381
2006,Wake Forest University,NCAA Division I-A,12114647,12953499,36827089
2006,Washington State University,NCAA Division I-A,10466370,16255975,31928453
2006,West Virginia University,NCAA Division I-A,25174217,14604331,46970708
2006,Western Kentucky University,NCAA Division I-AA,2796724,6868904,17208710
2006,Western Michigan University,NCAA Division I-A,1841527,15570844,18737921
2007,Appalachian State University,NCAA Division I-AA,3552010,4486459,12432311
2007,Arizona State University at the Tempe Campus,NCAA Division I-A,29473997,14657667,53479441
2007,Arkansas State University-Main Campus,NCAA Division I-A,3710057,2349891,10456754
2007,Auburn University Main Campus,NCAA Division I-A,59671354,21433881,89305326
2007,Ball State University,NCAA Division I-A,5436482,4108591,17427728
2007,Baylor University,NCAA Division I-A,11053460,15326913,44151763
2007,Boise State University,NCAA Division I-A,8546037,8938155,21777002
2007,Boston College,NCAA Division I-A,18661058,18928313,61203340
2007,Bowling Green State University-Main Campus,NCAA Division I-A,4127434,6873709,18087524
2007,Brigham Young University,NCAA Division I-A,11189381,15768099,36695623
2007,California State University-Fresno,NCAA Division I-A,9544629,10931482,26273405
2007,Central Michigan University,NCAA Division I-A,5712638,7862101,21493640
2007,Clemson University,NCAA Division I-A,33022630,14480063,59126212
2007,Colorado State University,NCAA Division I-A,3850239,16782885,22093683
2007,Duke University,NCAA Division I-A,10211591,39843155,67820335
2007,East Carolina University,NCAA Division I-A,8578244,16420139,29268128
2007,Eastern Michigan University,NCAA Division I-A,4655860,5350752,19341287
2007,Elon University,NCAA Division I-AA,725567,10151178,11604188
2007,Florida Atlantic University,NCAA Division I-A,2630350,10869363,14751549
2007,Florida International University,NCAA Division I-A,7164071,7091279,20230655
2007,Florida State University,NCAA Division I-A,14820135,11087301,45414953
2007,Georgia Institute of Technology-Main Campus,NCAA Division I-A,29353239,3214416,47126247
2007,Georgia Southern University,NCAA Division I-AA,1792328,6087222,9351695
2007,Georgia State University,NCAA Division I-AAA,,6091039,11571362
2007,Indiana University-Bloomington,NCAA Division I-A,21774074,15302999,54839398
2007,Iowa State University,NCAA Division I-A,17404826,11040360,38642013
2007,Kansas State University,NCAA Division I-A,21900159,18346517,48160113
2007,Kent State University-Kent Campus,NCAA Division I-A,6040915,2139613,18891133
2007,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,52687713,22728316,84183362
2007,Louisiana Tech University,NCAA Division I-A,2804582,8000753,12465865
2007,Marshall University,NCAA Division I-A,8112305,6943404,21340076
2007,Miami University-Oxford,NCAA Division I-A,5321463,6486365,23263940
2007,Michigan State University,NCAA Division I-A,43826312,11444073,77738746
2007,Middle Tennessee State University,NCAA Division I-A,5532473,4878615,17254577
2007,Mississippi State University,NCAA Division I-A,15994121,1248767,30440090
2007,New Mexico State University-Main Campus,NCAA Division I-A,6022277,9928000,25065502
2007,North Carolina State University at Raleigh,NCAA Division I-A,19952404,9791732,44553795
2007,Northern Illinois University,NCAA Division I-A,5351447,9995292,19199427
2007,Northwestern University,NCAA Division I-A,21080405,9755248,41835733
2007,Ohio State University-Main Campus,NCAA Division I-A,65162179,31815541,117953712
2007,Ohio University-Main Campus,NCAA Division I-A,4986723,7718653,20448176
2007,Oklahoma State University-Main Campus,NCAA Division I-A,23106517,50139928,88554438
2007,Old Dominion University,NCAA Division I-AAA,,16173340,19276659
2007,Oregon State University,NCAA Division I-A,31867028,9014894,47185827
2007,Pennsylvania State University-Main Campus,NCAA Division I-A,53766038,22021366,91570233
2007,Purdue University-Main Campus,NCAA Division I-A,21641794,27775325,62093614
2007,Rice University,NCAA Division I-A,7063464,12539112,26767228
2007,Rutgers University-New Brunswick,NCAA Division I-A,18144191,13457464,50181300
2007,San Diego State University,NCAA Division I-A,10175045,7220733,31697560
2007,San Jose State University,NCAA Division I-A,3983347,8201372,18318325
2007,Southern Methodist University,NCAA Division I-A,10683874,8250426,33031503
2007,Stanford University,NCAA Division I-A,13695340,52293421,76661466
2007,SUNY at Buffalo,NCAA Division I-A,1882475,16329954,19080151
2007,Syracuse University,NCAA Division I-A,15001438,3001786,44702831
2007,Temple University,NCAA Division I-A,9184112,6101333,27478056
2007,Texas A & M University,NCAA Division I-A,42552070,14474225,74781640
2007,Texas Christian University,NCAA Division I-A,14944618,8707699,43439777
2007,Texas State University-San Marcos,NCAA Division I-AA,595126,11775558,13179928
2007,Texas Tech University,NCAA Division I-A,20213600,12117571,42844855
2007,The University of Alabama,NCAA Division I-A,57370617,22249969,88869810
2007,The University of Tennessee,NCAA Division I-A,40264212,27915994,88719798
2007,The University of Texas at Austin,NCAA Division I-A,72952397,23392307,120288370
2007,The University of Texas at El Paso,NCAA Division I-A,9690350,1678240,23182621
2007,The University of Texas at San Antonio,NCAA Division I-AAA,,3948095,10411274
2007,Troy University,NCAA Division I-A,3715458,4332240,13134964
2007,Tulane University of Louisiana,NCAA Division I-A,7395365,4606138,20029935
2007,University of Akron Main Campus,NCAA Division I-A,4707537,5206857,17942424
2007,University of Alabama at Birmingham,NCAA Division I-A,5453387,6625634,21566166
2007,University of Arizona,NCAA Division I-A,16732590,10396104,46988400
2007,University of Arkansas Main Campus,NCAA Division I-A,40135364,3930750,64197470
2007,University of California-Berkeley,NCAA Division I-A,27826942,18221925,63884710
2007,University of California-Los Angeles,NCAA Division I-A,28174046,24631817,66088264
2007,University of Central Florida,NCAA Division I-A,5317178,21471757,28775770
2007,University of Cincinnati-Main Campus,NCAA Division I-A,9179822,11994776,33886561
2007,University of Colorado at Boulder,NCAA Division I-A,28755199,18043669,52631896
2007,University of Connecticut,NCAA Division I-A,13955901,26546200,54721742
2007,University of Florida,NCAA Division I-A,66124945,26662027,106030895
2007,University of Georgia,NCAA Division I-A,67053051,3511061,84020180
2007,University of Hawaii at Manoa,NCAA Division I-A,12205141,15876755,33012865
2007,University of Houston,NCAA Division I-A,4640582,17819590,30856264
2007,University of Idaho,NCAA Division I-A,4412780,4360164,12896488
2007,University of Illinois at Urbana-Champaign,NCAA Division I-A,25370427,11817785,57167843
2007,University of Iowa,NCAA Division I-A,37998729,31060367,81148310
2007,University of Kansas,NCAA Division I-A,14841115,55264987,86009257
2007,University of Kentucky,NCAA Division I-A,25861744,28644802,71186184
2007,University of Louisiana at Lafayette,NCAA Division I-A,3544612,3045539,11134598
2007,University of Louisiana at Monroe,NCAA Division I-A,2597628,1605880,7733035
2007,University of Louisville,NCAA Division I-A,16082457,11477778,52203604
2007,University of Massachusetts Amherst,NCAA Division I-AA,3877595,6588622,22729573
2007,University of Memphis,NCAA Division I-A,7496138,10399520,33393717
2007,University of Miami,NCAA Division I-A,22071860,10946274,46849990
2007,University of Michigan-Ann Arbor,NCAA Division I-A,57463603,29851376,99027105
2007,University of Minnesota-Twin Cities,NCAA Division I-A,24275876,16827201,63782454
2007,University of Mississippi Main Campus,NCAA Division I-A,17768432,9732111,34769709
2007,University of Missouri-Columbia,NCAA Division I-A,19301864,21010835,49113786
2007,University of Nebraska-Lincoln,NCAA Division I-A,49076861,15134993,75492884
2007,University of Nevada-Las Vegas,NCAA Division I-A,7690735,12450950,32796515
2007,University of Nevada-Reno,NCAA Division I-A,5498629,9689085,21057972
2007,University of New Mexico-Main Campus,NCAA Division I-A,5751198,10464167,28806308
2007,University of North Carolina at Chapel Hill,NCAA Division I-A,20687386,16477782,61263269
2007,University of North Carolina at Charlotte,NCAA Division I-AAA,,3602561,10961859
2007,University of North Texas,NCAA Division I-A,2909550,10676350,15762952
2007,University of Notre Dame,NCAA Division I-A,59774851,15806086,83352439
2007,University of Oklahoma Norman Campus,NCAA Division I-A,40922446,27311183,77098009
2007,University of Oregon,NCAA Division I-A,24493155,25533566,56623902
2007,University of Pittsburgh-Pittsburgh Campus,NCAA Division I-A,17279610,5744620,39741621
2007,University of South Alabama,NCAA Division I-AAA,,3749163,10250398
2007,University of South Carolina-Columbia,NCAA Division I-A,50433037,6754586,66545953
2007,University of South Florida,NCAA Division I-A,14177325,16827151,34727263
2007,University of Southern California,NCAA Division I-A,28595881,39064294,76409919
2007,University of Southern Mississippi,NCAA Division I-A,5223825,4427401,14472618
2007,University of Toledo-Main Campus,NCAA Division I-A,4441368,6578230,18127253
2007,University of Tulsa,NCAA Division I-A,8156480,10384646,25797664
2007,University of Utah,NCAA Division I-A,12088406,7174267,26949005
2007,University of Virginia-Main Campus,NCAA Division I-A,20483132,33456147,65400485
2007,University of Washington-Seattle Campus,NCAA Division I-A,37092611,9540343,60729016
2007,University of Wisconsin-Madison,NCAA Division I-A,37733698,30349097,93452334
2007,University of Wyoming,NCAA Division I-A,6958278,10680035,23717482
2007,Utah State University,NCAA Division I-A,4200475,2883875,13205337
2007,Vanderbilt University,NCAA Division I-A,16924277,6042051,45521855
2007,Virginia Polytechnic Institute and State University,NCAA Division I-A,30297214,9537164,56029172
2007,Wake Forest University,NCAA Division I-A,14866810,12747092,39961624
2007,Washington State University,NCAA Division I-A,13469260,20180689,39621059
2007,West Virginia University,NCAA Division I-A,27552053,17385804,54262716
2007,Western Kentucky University,NCAA Division I-AA,4206448,7754600,19957909
2007,Western Michigan University,NCAA Division I-A,2522901,14680397,19190254
2008,Appalachian State University,NCAA Division I-AA,3307184,5068708,13252263
2008,Arizona State University,NCAA Division I-A,29857334,13714256,53297963
2008,Arkansas State University-Main Campus,NCAA Division I-A,3726141,2419841,10745253
2008,Auburn University Main Campus,NCAA Division I-A,58618819,20044864,87001416
2008,Ball State University,NCAA Division I-A,5181790,5786182,19385563
2008,Baylor University,NCAA Division I-A,11896723,15925418,48545254
2008,Boise State University,NCAA Division I-A,8515597,8461294,20583008
2008,Boston College,NCAA Division I-A,20711067,19399617,64157876
2008,Bowling Green State University-Main Campus,NCAA Division I-A,2118327,12943442,16320676
2008,Brigham Young University,NCAA Division I-A,12520065,13604728,35628193
2008,California State University-Fresno,NCAA Division I-A,10414434,12512325,28806348
2008,Central Michigan University,NCAA Division I-A,7991950,5299901,22476972
2008,Clemson University,NCAA Division I-A,35205168,11685016,60167535
2008,Colorado State University,NCAA Division I-A,5981376,12220852,22333071
2008,Duke University,NCAA Division I-A,9029583,46456707,71072431
2008,East Carolina University,NCAA Division I-A,7833996,20978365,30569723
2008,Eastern Michigan University,NCAA Division I-A,5289450,6449438,21951867
2008,Elon University,NCAA Division I-AA,3444193,5278617,15205180
2008,Florida Atlantic University,NCAA Division I-A,2546699,11690742,14863017
2008,Florida International University,NCAA Division I-A,6563171,8545453,21270045
2008,Florida State University,NCAA Division I-A,24877536,34487122,74417324
2008,Georgia Institute of Technology-Main Campus,NCAA Division I-A,22830766,14861133,48061053
2008,Georgia Southern University,NCAA Division I-AA,2086516,6782485,10879521
2008,Georgia State University,NCAA Division I-AAA,,10495856,16311528
2008,Indiana University-Bloomington,NCAA Division I-A,20836473,23642461,60615528
2008,Iowa State University,NCAA Division I-A,21261439,13650583,45813189
2008,Kansas State University,NCAA Division I-A,21378813,18738317,47399903
2008,Kent State University Kent Campus,NCAA Division I-A,4997453,2068906,17942193
2008,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,61868953,24946035,100077884
2008,Louisiana Tech University,NCAA Division I-A,2835741,9657313,13901349
2008,Marshall University,NCAA Division I-A,6859758,6075992,22140516
2008,Miami University-Oxford,NCAA Division I-A,5356706,7126090,24685668
2008,Michigan State University,NCAA Division I-A,43506725,9794233,75624811
2008,Middle Tennessee State University,NCAA Division I-A,5513282,4686435,17204861
2008,Mississippi State University,NCAA Division I-A,18732248,3044542,36536152
2008,New Mexico State University-Main Campus,NCAA Division I-A,6479728,9026205,25616185
2008,North Carolina State University at Raleigh,NCAA Division I-A,21772446,10156545,46491105
2008,Northern Illinois University,NCAA Division I-A,5150310,10001545,19903785
2008,Northwestern University,NCAA Division I-A,23951794,14123835,48582384
2008,Ohio State University-Main Campus,NCAA Division I-A,68196195,25787430,119859607
2008,Ohio University-Main Campus,NCAA Division I-A,6043619,7590215,21893603
2008,Oklahoma State University-Main Campus,NCAA Division I-A,26536625,31407587,71805825
2008,Old Dominion University,NCAA Division I-AAA,2075136,19189054,27219527
2008,Oregon State University,NCAA Division I-A,30874059,12183849,50211404
2008,Pennsylvania State University-Main Campus,NCAA Division I-A,61767717,17750469,95978243
2008,Purdue University-Main Campus,NCAA Division I-A,18320608,28506462,59919102
2008,Rice University,NCAA Division I-A,12682194,4992308,30671822
2008,Rutgers University-New Brunswick,NCAA Division I-A,19738023,14891873,54304756
2008,San Diego State University,NCAA Division I-A,11931887,8245573,34451248
2008,San Jose State University,NCAA Division I-A,4479682,7250602,17886445
2008,Southern Methodist University,NCAA Division I-A,11121190,8200611,35386090
2008,Stanford University,NCAA Division I-A,14178256,48502396,74695254
2008,Syracuse University,NCAA Division I-A,17086213,5892380,52050104
2008,Temple University,NCAA Division I-A,8037577,6905482,26879311
2008,Texas A & M University,NCAA Division I-A,38358422,16823031,72886100
2008,Texas Christian University,NCAA Division I-A,16636229,8707699,46461545
2008,Texas State University-San Marcos,NCAA Division I-AA,782547,20466878,22228813
2008,Texas Tech University,NCAA Division I-A,23581188,13063677,46632263
2008,The University of Alabama,NCAA Division I-A,64606392,28452949,103934873
2008,The University of Tennessee,NCAA Division I-A,42805360,28491771,92524125
2008,The University of Texas at Austin,NCAA Division I-A,87583986,24620369,138459149
2008,The University of Texas at El Paso,NCAA Division I-A,10229709,1325886,22990846
2008,The University of Texas at San Antonio,NCAA Division I-AAA,,3206300,10090196
2008,Troy University,NCAA Division I-A,4500149,4285853,14389423
2008,Tulane University of Louisiana,NCAA Division I-A,5035494,11398287,20811000
2008,University at Buffalo,NCAA Division I-A,5241024,9526282,23446561
2008,University of Akron Main Campus,NCAA Division I-A,1577189,17416925,19769908
2008,University of Alabama at Birmingham,NCAA Division I-A,5853300,7120372,22620615
2008,University of Arizona,NCAA Division I-A,20927253,9558652,51822629
2008,University of Arkansas Main Campus,NCAA Division I-A,38630265,5913375,63978641
2008,University of California-Berkeley,NCAA Division I-A,27747396,29080126,73354967
2008,University of California-Los Angeles,NCAA Division I-A,26640759,23387855,66177866
2008,University of Central Florida,NCAA Division I-A,8845302,19191806,29987609
2008,University of Cincinnati-Main Campus,NCAA Division I-A,11460935,10572729,35027102
2008,University of Colorado at Boulder,NCAA Division I-A,27827286,16672374,49859693
2008,University of Connecticut,NCAA Division I-A,13520096,29975669,58495408
2008,University of Florida,NCAA Division I-A,66150063,28747983,108309060
2008,University of Georgia,NCAA Division I-A,65218406,1670037,81496357
2008,University of Hawaii at Manoa,NCAA Division I-A,7523084,17674202,30515408
2008,University of Houston,NCAA Division I-A,3965165,17814836,29620164
2008,University of Idaho,NCAA Division I-A,5900551,3092619,15055971
2008,University of Illinois at Urbana-Champaign,NCAA Division I-A,25710645,7538319,55609086
2008,University of Iowa,NCAA Division I-A,38896234,27391212,79521143
2008,University of Kansas,NCAA Division I-A,17676175,35933528,70614953
2008,University of Kentucky,NCAA Division I-A,26143126,29406344,72057751
2008,University of Louisiana at Lafayette,NCAA Division I-A,4015061,2425234,12122861
2008,University of Louisiana Monroe,NCAA Division I-A,2649397,1297000,7907960
2008,University of Louisville,NCAA Division I-A,18962150,11399534,58023326
2008,University of Maryland-College Park,NCAA Division I-A,13980823,27856639,59966862
2008,University of Massachusetts Amherst,NCAA Division I-AA,4179726,6738515,23611645
2008,University of Memphis,NCAA Division I-A,8303040,10722169,33506683
2008,University of Miami,NCAA Division I-A,27155010,21004414,61969808
2008,University of Michigan-Ann Arbor,NCAA Division I-A,52246025,31230141,95193030
2008,University of Minnesota-Twin Cities,NCAA Division I-A,25594942,23566070,70322992
2008,University of Mississippi Main Campus,NCAA Division I-A,18688648,16387209,41318068
2008,University of Missouri-Columbia,NCAA Division I-A,24141873,23789132,57778668
2008,University of Nebraska-Lincoln,NCAA Division I-A,55226605,8015846,74881383
2008,University of Nevada-Las Vegas,NCAA Division I-A,4626222,18553286,33178196
2008,University of Nevada-Reno,NCAA Division I-A,4816735,10998225,21444154
2008,University of New Mexico-Main Campus,NCAA Division I-A,7961505,9759919,31990662
2008,University of North Carolina at Chapel Hill,NCAA Division I-A,24163760,19240026,70152767
2008,University of North Carolina at Charlotte,NCAA Division I-AAA,,3291727,11368929
2008,University of North Texas,NCAA Division I-A,4352113,6497144,16621986
2008,University of Notre Dame,NCAA Division I-A,56929397,15694291,81088368
2008,University of Oklahoma Norman Campus,NCAA Division I-A,42638431,29290337,81487835
2008,University of Oregon,NCAA Division I-A,24789755,29316960,60283512
2008,University of Pittsburgh-Pittsburgh Campus,NCAA Division I-A,20494743,6498563,45830364
2008,University of South Alabama,NCAA Division I-AAA,,6184729,12875018
2008,University of South Carolina-Columbia,NCAA Division I-A,57118519,8264205,76254236
2008,University of South Florida,NCAA Division I-A,14154015,19850948,37855971
2008,University of Southern California,NCAA Division I-A,35203483,38795352,80151282
2008,University of Southern Mississippi,NCAA Division I-A,5550336,6051633,18623258
2008,University of Toledo,NCAA Division I-A,5857513,5333012,19165629
2008,University of Tulsa,NCAA Division I-A,8792917,8508963,27130674
2008,University of Utah,NCAA Division I-A,16388182,7583959,31776878
2008,University of Virginia-Main Campus,NCAA Division I-A,20210563,34011767,67141170
2008,University of Washington-Seattle Campus,NCAA Division I-A,34177030,11532856,60575780
2008,University of Wisconsin-Madison,NCAA Division I-A,40005517,23950442,89842749
2008,University of Wyoming,NCAA Division I-A,8792537,9043874,24671158
2008,Utah State University,NCAA Division I-A,4738478,5850975,16498260
2008,Vanderbilt University,NCAA Division I-A,18564940,3732925,45582274
2008,Virginia Polytechnic Institute and State University,NCAA Division I-A,27749586,9544030,52838905
2008,Wake Forest University,NCAA Division I-A,10346081,25237112,44649063
2008,Washington State University,NCAA Division I-A,11415496,18691115,38293754
2008,West Virginia University,NCAA Division I-A,28952873,15035681,55658165
2008,Western Kentucky University,NCAA Division I-A,5218006,7313459,21002792
2008,Western Michigan University,NCAA Division I-A,5603913,6902664,21674165
2009,Appalachian State University,NCAA Division I-AA,3039481,5989843,14627396
2009,Arizona State University,NCAA Division I-A,29587236,13933998,57059932
2009,Arkansas State University-Main Campus,NCAA Division I-A,3760642,2849240,11433185
2009,Auburn University Main Campus,NCAA Division I-A,66162720,15866843,92594273
2009,Ball State University,NCAA Division I-A,5252502,5367857,18772993
2009,Baylor University,NCAA Division I-A,14355322,18146130,54141924
2009,Boise State University,NCAA Division I-A,14515613,7600348,25099155
2009,Boston College,NCAA Division I-A,19184902,18852886,64502395
2009,Bowling Green State University-Main Campus,NCAA Division I-A,4154484,4540591,17040837
2009,Brigham Young University,NCAA Division I-A,15763650,14910810,40999979
2009,California State University-Fresno,NCAA Division I-A,9051902,10986722,26055730
2009,Central Michigan University,NCAA Division I-A,7035878,9909167,24510325
2009,Clemson University,NCAA Division I-A,30994503,15420310,57562999
2009,Colorado State University,NCAA Division I-A,7288328,7446704,22496161
2009,Duke University,NCAA Division I-A,16109324,9419514,68536289
2009,East Carolina University,NCAA Division I-A,9627578,7809057,30861024
2009,Eastern Michigan University,NCAA Division I-A,6076907,4014019,19508307
2009,Elon University,NCAA Division I-AA,3652960,5304692,16234632
2009,Florida Atlantic University,NCAA Division I-A,2280834,11926445,15481401
2009,Florida International University,NCAA Division I-A,6915199,7481887,22004421
2009,Florida State University,NCAA Division I-A,18958861,35855764,75209179
2009,Georgia Institute of Technology-Main Campus,NCAA Division I-A,24870064,10599950,46983216
2009,Georgia Southern University,NCAA Division I-AA,1089042,7158854,9348984
2009,Georgia State University,NCAA Division I-AA,236730,15251256,16955754
2009,Indiana University-Bloomington,NCAA Division I-A,21783185,29346976,68769582
