Survey Year,Institution Name,Classification Name,Football Total Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,University of Houston,NCAA Division I-A,3407761,9384241,13895125
2003,University of Idaho,NCAA Division I-A,4317590,2928075,11169881
2003,University of Illinois at Urbana-Champaign,NCAA Division I-A,19450420,9706851,43994801
2003,University of Iowa,NCAA Division I-A,25349769,14794157,53421031
2003,University of Kansas Main Campus,NCAA Division I-A,9361531,38743058,59327117
2003,University of Kentucky,NCAA Division I-A,19779329,20625201,52383225
2003,University of Louisiana at Lafayette,NCAA Division I-A,1574181,4985416,7250231
2003,University of Louisiana at Monroe,NCAA Division I-A,1796303,3288784,5503962
2003,University of Louisville,NCAA Division I-A,9771414,8367368,35084742
2003,UNIVERSITY OF MARYLAND-COLLEGE PARK,NCAA Division I-A,8941831,20601388,40472162
2003,University of Massachusetts-Amherst,NCAA Division I-AA,745038,15251270,18013213
2003,University of Memphis,NCAA Division I-A,4878352,12072712,22503541
2003,University of Miami,NCAA Division I-A,23679096,14503468,47470707
2003,University of Michigan-Ann Arbor,NCAA Division I-A,38547937,19493567,68920479
2003,University of Minnesota-Twin Cities,NCAA Division I-A,14484196,17527967,50017755
2003,University of Mississippi Main Campus,NCAA Division I-A,16770707,6457656,27605326
2003,University of Missouri-Columbia,NCAA Division I-A,15062869,17298038,39853466
2003,University of Nebraska at Lincoln,NCAA Division I-A,30231643,20931450,55910929
2003,University of Nevada-Las Vegas,NCAA Division I-A,3358038,12469836,21488785
2003,University of Nevada-Reno,NCAA Division I-A,4164850,7735945,14066920
2003,University of New Mexico-Main Campus,NCAA Division I-A,6728270,3381256,20496333
2003,University of North Carolina at Chapel Hill,NCAA Division I-A,15120192,9769589,43885075
2003,University of North Carolina at Charlotte,NCAA Division I-AAA,,5806727,8122359
2003,University of North Texas,NCAA Division I-A,1514116,9599522,11362381
2003,University of Notre Dame,NCAA Division I-A,38596090,10507598,55039977
2003,University of Oklahoma Norman Campus,NCAA Division I-A,34293061,16412896,57924631
2003,University of Oregon,NCAA Division I-A,18070390,17260109,40800423
2003,University of Pittsburgh-Main Campus,NCAA Division I-A,19351753,5379746,31769592
2003,University of South Alabama,NCAA Division I-AAA,,2188746,6361282
2003,University of South Carolina-Columbia,NCAA Division I-A,14292557,23961740,40743224
2003,University of South Florida,NCAA Division I-A,5189338,11406718,18590107
2003,University of Southern California,NCAA Division I-A,26244364,21650259,53017260
2003,University of Southern Mississippi,NCAA Division I-A,4846178,10541252,16688977
2003,University of Toledo-Main Campus,NCAA Division I-A,1343825,,2121983
2003,University of Tulsa,NCAA Division I-A,5027052,5506534,17050281
2003,University of Utah,NCAA Division I-A,4726994,11872832,20923338
2003,University of Virginia-Main Campus,NCAA Division I-A,14740242,19160965,42465400
2003,University of Washington-Seattle Campus,NCAA Division I-A,28569263,6175329,42551520
2003,University of Wisconsin-Madison,NCAA Division I-A,23271101,16773933,58121893
2003,University of Wyoming,NCAA Division I-A,5545301,5293763,17723365
2003,Utah State University,NCAA Division I-A,3362886,5767776,10559160
2003,Vanderbilt University,NCAA Division I-A,13431804,8798696,33754007
2003,Virginia Polytechnic Institute and State University,NCAA Division I-A,24138543,7864232,38900607
2003,Wake Forest University,NCAA Division I-A,7134512,13938214,29560866
2003,Washington State University,NCAA Division I-A,12630209,13538665,30475629
2003,West Virginia University,NCAA Division I-A,17373542,16255427,37808838
2003,Western Kentucky University,NCAA Division I-AA,2549940,11979807,20920087
2003,Western Michigan University,NCAA Division I-A,1754840,16193776,19229478
2004,Appalachian State University,NCAA Division I-AA,2898429,588923,7594896
2004,Arizona State University at the Tempe Campus,NCAA Division I-A,17809736,15776252,39632445
2004,Arkansas State University-Main Campus,NCAA Division I-A,1727986,4666690,7214040
2004,Auburn University Main Campus,NCAA Division I-A,40559427,5511267,50918568
2004,Ball State University,NCAA Division I-A,799737,11934485,13660578
2004,Baylor University,NCAA Division I-A,6500150,14744331,31127696
2004,Boise State University,NCAA Division I-A,3942425,9409864,14977025
2004,Boston College,NCAA Division I-A,13418390,10962254,36819540
2004,Bowling Green State University-Main Campus,NCAA Division I-A,2374803,11636800,15414019
2004,Brigham Young University,NCAA Division I-A,8819805,9698824,29326287
2004,California State University-Fresno,NCAA Division I-A,9156157,8285820,25441202
2004,Central Michigan University,NCAA Division I-A,3572222,6812904,16718893
2004,Clemson University,NCAA Division I-A,22334140,8689080,40000377
2004,Colorado State University,NCAA Division I-A,3445782,12379252,17582884
2004,Duke University,NCAA Division I-A,7727680,21073613,42156105
2004,East Carolina University,NCAA Division I-A,5360281,12087914,19258533
2004,Eastern Michigan University,NCAA Division I-A,2355559,5778304,17469156
2004,Elon University,NCAA Division I-AA,196398,5291901,6101951
2004,Florida Atlantic University,NCAA Division I-A,969358,11823858,13193871
2004,Florida International University,NCAA Division I-A,4977745,5620505,14805418
2004,Florida State University,NCAA Division I-A,18246005,11872601,39004452
2004,Georgia Institute of Technology-Main Campus,NCAA Division I-A,10936408,18539068,38823368
2004,Georgia Southern University,NCAA Division I-AA,893054,6591315,8572491
2004,Georgia State University,NCAA Division I-AAA,,5729763,6088623
2004,Indiana University-Bloomington,NCAA Division I-A,10538427,15243911,38265551
2004,Iowa State University,NCAA Division I-A,11383885,9363023,28748159
2004,Kansas State University,NCAA Division I-A,19954557,14130204,39029024
2004,Kent State University-Kent Campus,NCAA Division I-A,777969,13865160,15258385
2004,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,39657764,13203136,60878249
2004,Louisiana Tech University,NCAA Division I-A,2879053,5450420,9796497
2004,Marshall University,NCAA Division I-A,5422949,6563615,16323459
2004,Miami University-Oxford,NCAA Division I-A,4464311,6658103,20140111
2004,Michigan State University,NCAA Division I-A,29274872,12870194,59240986
2004,Middle Tennessee State University,NCAA Division I-A,3892130,4280999,13577458
2004,Mississippi State University,NCAA Division I-A,9792405,10147025,25502594
2004,New Mexico State University-Main Campus,NCAA Division I-A,2051337,8633880,12856716
2004,North Carolina State University at Raleigh,NCAA Division I-A,14693373,5163816,31390192
2004,Northern Illinois University,NCAA Division I-A,2267048,9800605,13363801
2004,Northwestern University,NCAA Division I-A,14743414,12436410,34300078
2004,Ohio State University-Main Campus,NCAA Division I-A,51810607,21436247,89700979
2004,Ohio University-Main Campus,NCAA Division I-A,3764754,4441603,14730212
2004,Oklahoma State University-Main Campus,NCAA Division I-A,18935014,10416437,41244644
2004,Old Dominion University,NCAA Division I-AAA,,10466525,12223951
2004,Oregon State University,NCAA Division I-A,22377743,9746448,36765531
2004,Pennsylvania State University-Main Campus,NCAA Division I-A,33236463,16020119,60785497
2004,Purdue University-Main Campus,NCAA Division I-A,23381508,12178754,48948849
