team,year,srs,lagged_srs,stateunemp,stadium_cap,num_homegames,coach_experience,conf_coy,nat_coy,new_coach
fiu,2011,-4.53,-4.71,9.991666667,20000,5,4,1,0,0
fiu,2012,-9.1,-4.53,8.483333333,20000,6,5,1,0,0
fiu,2013,-23.53,-9.1,7.233333333,"20,000",6,9,1,0,1
fiu,2014,-6.95,-23.53,6.266666667,"20,000",8,10,1,0,0
florida,2010,9.3,21.15,11.03333333,88548,7,9,1,1,0
florida,2011,6,9.3,9.991666667,88548,7,0,0,0,1
florida,2012,17.35,6,8.483333333,88548,7,1,0,0,0
florida,2013,4.67,17.35,7.233333333,"88,548",6,2,0,0,0
florida,2014,8.12,4.67,6.266666667,"88,548",7,3,0,0,0
floridastate,2010,14.2,6.08,11.03333333,82300,7,0,0,0,1
floridastate,2011,11.22,14.2,9.991666667,82300,7,1,0,0,0
floridastate,2012,13.56,11.22,8.483333333,82300,7,2,0,0,0
floridastate,2013,23.36,13.56,7.233333333,"82,300",7,3,1,1,0
floridastate,2014,14.48,23.36,6.266666667,"82,300",7,4,1,1,0
fresnostate,2010,0.18,1.34,12.225,41031,7,13,0,0,0
fresnostate,2011,-7.24,0.18,11.70833333,41031,6,14,0,0,0
fresnostate,2012,6.33,-7.24,10.375,41031,6,0,0,0,1
fresnostate,2013,5.04,6.33,8.941666667,"41,031",6,1,0,0,0
fresnostate,2014,-5.52,5.04,7.5,"41,031",6,2,0,0,0
georgiatech,2010,0.8,13.54,10.49166667,55000,6,9,1,0,0
georgiatech,2011,3.4,0.8,10.23333333,55000,7,10,1,0,0
georgiatech,2012,5.18,3.4,9.191666667,55000,7,11,1,0,0
georgiatech,2013,7.21,5.18,8.2,"55,000",7,12,1,0,0
georgiatech,2014,15.92,7.21,7.1,"55,000",6,13,1,0,0
houston,2010,-2.11,4.21,8.133333333,32000,6,2,1,0,0
houston,2011,11.94,-2.11,7.758333333,32000,7,3,1,0,0
houston,2012,-5.54,11.94,6.741666667,32000,7,0,0,0,1
houston,2013,4.93,-5.54,6.25,"32,000",7,1,0,0,0
houston,2014,0.85,4.93,5.108333333,"40,000",7,2,0,0,0
illinois,2010,7.77,-3.67,10.36666667,62870,6,8,1,0,0
illinois,2011,2.63,7.77,9.691666667,60670,8,9,1,0,0
illinois,2012,-10.35,2.63,8.991666667,62870,7,3,0,0,1
illinois,2013,-3.86,-10.35,9.041666667,"62,870",7,4,0,0,0
illinois,2014,-2.53,-3.86,7.1,"60,670",7,5,0,0,0
indiana,2010,-4.49,-5.75,10.34166667,52692,6,11,0,0,0
indiana,2011,-10.91,-4.49,9.108333333,52929,6,0,0,0,1
indiana,2012,-5.53,-10.91,8.35,52692,6,1,0,0,0
indiana,2013,4.41,-5.53,7.633333333,"52,692",8,2,0,0,0
indiana,2014,-5.32,4.41,5.958333333,"52,692",6,3,0,0,0
iowa,2010,10.15,10.26,6.008333333,70585,7,11,1,1,0
iowa,2011,4.38,10.15,5.525,70585,7,12,1,1,0
iowa,2012,-2.62,4.38,5.033333333,70585,7,13,1,1,0
iowa,2013,7.31,-2.62,4.733333333,"70,585",7,14,1,1,0
iowa,2014,1.37,7.31,4.241666667,"70,585",7,15,1,1,0
iowastate,2010,0.43,-0.96,6.008333333,55000,7,1,0,0,0
iowastate,2011,2.12,0.43,5.525,55000,6,2,0,0,0
iowastate,2012,5.4,2.12,5.033333333,55000,7,3,0,0,0
iowastate,2013,-3.57,5.4,4.733333333,"55,000",6,4,0,0,0
iowastate,2014,-8.64,-3.57,4.241666667,"56,800",7,5,0,0,0
kansas,2010,-8.61,0.88,7.058333333,50250,7,4,1,0,1
kansas,2011,-4.75,-8.61,6.491666667,50250,6,5,1,0,0
kansas,2012,-6.7,-4.75,5.733333333,50250,6,5,0,1,1
kansas,2013,-8.58,-6.7,5.308333333,"50,250",7,6,0,1,0
kansas,2014,-6.86,-8.58,4.533333333,"50,250",6,7,0,1,0
kentstate,2010,-8.82,-10.69,10.24166667,25000,6,6,0,0,0
kentstate,2011,-6.03,-8.82,8.85,25000,6,0,0,0,1
kentstate,2012,2.75,-6.03,7.408333333,25000,5,1,0,0,0
kentstate,2013,-9.6,2.75,7.425,"25,000",5,0,0,0,1
kentstate,2014,-13.04,-9.6,5.8,"25,000",6,1,0,0,0
kentucky,2010,1.88,6.03,10.16666667,67606,7,0,0,0,1
kentucky,2011,-1.63,1.88,9.375,67606,7,1,0,0,0
kentucky,2012,-5.29,-1.63,8.166666667,67606,7,2,0,0,0
kentucky,2013,-3.51,-5.29,8.016666667,"67,606",7,0,0,0,1
kentucky,2014,1.55,-3.51,6.458333333,"67,606",7,1,0,0,0
latech,2010,-3.7,-2.97,7.95,30600,7,0,0,0,1
latech,2011,2.04,-3.7,7.833333333,30600,5,1,1,0,0
latech,2012,6.33,2.04,7.091666667,30600,6,2,1,0,0
latech,2013,-15.66,6.33,6.675,"30,600",5,8,0,0,1
latech,2014,5.46,-15.66,6.383333333,"27,717",5,9,0,0,0
louisville,2010,2.71,-4.01,10.16666667,42000,7,0,1,0,1
louisville,2011,2.38,2.71,9.375,55000,6,1,1,0,0
louisville,2012,5.88,2.38,8.166666667,42000,7,2,1,0,0
louisville,2013,9.99,5.88,8.016666667,"55,000",7,3,1,0,0
louisville,2014,10.52,9.99,6.458333333,"55,000",6,9,1,0,1
lsu,2010,15.13,12.7,7.95,92400,7,9,0,0,0
lsu,2011,24.27,15.13,7.833333333,92400,6,10,1,1,0
lsu,2012,14.76,24.27,7.091666667,92400,8,11,1,1,0
lsu,2013,14.59,14.76,6.675,"92,400",7,12,1,1,0
lsu,2014,10.75,14.59,6.383333333,"102,321",7,13,1,1,0
marshall,2010,-9.73,-3.35,8.625,38019,6,0,0,0,1
marshall,2011,-4.59,-9.73,8.05833333,38019,5,1,0,0,0
marshall,2012,-6.04,-4.59,7.49166667,38019,6,2,0,0,0
marshall,2013,3.07,-6.04,6.79166667,"38,019",6,3,0,0,0
marshall,2014,12.55,3.07,6.64166667,"38,019",7,4,0,0,0
maryland,2010,7.02,-6.6,7.65,51500,7,9,1,1,0
maryland,2011,-8.22,7.02,7.25,51500,8,12,1,0,1
maryland,2012,-6.59,-8.22,6.966666667,51500,6,13,1,0,0
maryland,2013,0.64,-6.59,6.566666667,"51,802",6,14,1,0,0
maryland,2014,1.58,0.64,5.808333333,"51,802",6,15,1,0,0
memphis,2010,-19.43,-12.06,9.633333333,62380,6,0,0,0,1
memphis,2011,-18.17,-19.43,8.966666667,61000,6,1,0,0,0
memphis,2012,-11.09,-18.17,7.825,62380,6,0,0,0,1
memphis,2013,-7.41,-11.09,7.733333333,"59,308",7,1,0,0,0
memphis,2014,7.22,-7.41,6.591666667,"59,308",6,2,1,0,0
michigan,2010,1.41,-1.51,12.575,109901,7,9,1,0,0
michigan,2011,16.27,1.41,10.3916667,109901,8,8,1,0,1
michigan,2012,10.01,16.27,9.125,109901,6,9,1,0,0
michigan,2013,5.53,10.01,8.78333333,"109,901",7,10,1,0,0
michigan,2014,1.82,5.53,7.23333333,"109,901",7,11,1,0,0
michiganstate,2010,9.91,2.52,12.575,75005,8,6,1,0,0
michiganstate,2011,10.05,9.91,10.3916667,75005,7,7,1,0,0
michiganstate,2012,6.21,10.05,9.125,75005,7,8,1,0,0
michiganstate,2013,14.74,6.21,8.78333333,"75,005",7,9,1,0,0
