Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
California,2014,39216531,17,51,23,0,2.55,-8.58,7.5,62467,91,2,7,4,1,0,1,0,4837659.75,82.85,0.41342304,1,0,1
Central Michigan,2010,1955069,79,12,0,0,-9.74,4.76,12.58,30255,38,4,5,0,0,0,0,1,1975346.2,91.2,0.4049923,0,0,0
Central Michigan,2011,1607481,86,15,0,0,-11.28,-9.74,10.39,30255,39,5,5,1,0,0,1,0,1975239.8,90.9,0.405014115,0,0,0
Central Michigan,2012,1431437,82,19,0,0,-7.91,-11.28,9.13,30255,40,6,7,2,0,0,2,0,1977322,91.04,0.404587619,0,0,0
Central Michigan,2013,2787913.54,76,17,0,0,-11.97,-7.91,8.78,30255,41,7,5,3,0,0,3,0,1979843.8,91.08,0.404072281,0,0,0
Central Michigan,2014,1887439,77,14,0,0,-5.84,-11.97,7.23,30255,42,8,6,4,0,0,4,0,1982935,91.41,0.403442372,0,0,0
Clemson,2010,21713604,10,37,36,1,7.35,11.73,11.13,80301,68,4,7,2,0,0,1,0,2317917,88.95,0,1,0,1
Clemson,2011,22921272,11,40,34,5,6.54,7.35,10.54,81500,69,5,7,3,0,0,2,0,2336372,86.6,0,1,0,1
Clemson,2012,23547276,7,43,31,4,14.75,6.54,9.2,80301,70,6,7,4,0,0,3,0,2359504.5,87.31,0,1,0,1
Clemson,2013,24697728,9,49,34,4,14.98,14.75,7.62,81500,71,7,7,5,0,0,4,0,2382931,87.55,0,1,0,1
Clemson,2014,39385759,9,48,32,5,11.63,14.98,6.45,81500,72,8,7,6,0,0,5,0,2412379,87.8,0,1,0,1
Colorado,2010,18767986,30,46,14,2,0.75,-3.86,8.73,53613,86,7,6,9,1,0,4,0,1682676.333,92.11,0.792388475,0,0,1
Colorado,2011,18462312,29,45,12,1,-8.67,0.75,8.36,53613,87,8,5,0,0,0,0,1,1705470.333,91,0.781798022,0,0,1
Colorado,2012,19006821,31,56,7,0,-12.66,-8.67,7.89,53613,88,9,6,1,0,0,1,0,1728776.667,91.06,0.771258289,0,0,1
