,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
North Carolina,88.06,1.22,1143191,17437.38945,1298130,8207.702358,154939,6567.302719,293076,9429.951962,312899,8743.437882,120814,6489.807547,295317,8079.240373,121085,5594.562003
North Dakota,94.83,3.86,108196,5014.216489,114100,2523.458143,5904,1264.079507,27277,2466.292764,23613,2767.416304,16660,1868.240884,31729,2412.816819,8917,1445.39441
Ohio,91.98,1.02,1367228,15885.23226,1486363,4957.673043,119135,5618.924185,391017,8057.181889,351851,8548.769853,147979,5868.645244,330763,7237.162151,145618,5246.279158
Oklahoma,88.86,1.61,476266,9205.071483,535955,3533.60793,59689,3389.818137,158973,5271.740604,137489,4787.821321,43908,2920.746822,103451,4158.135159,32445,2863.216548
Oregon,91.04,1.96,503719,11341.3277,553310,3664.288744,49591,4012.545825,121899,5917.527355,146107,6437.864553,45830,3419.8171,132830,5328.197162,57053,3475.291355
Pennsylvania,92.09,1.01,1518212,17225.56234,1648641,4470.045414,130429,5741.570952,442305,8579.508436,298076,8446.42232,153958,5757.333845,424846,8752.073697,199027,6482.614904
Rhode Island,91.06,4.22,130237,6250.480142,143020,1768.803268,12783,2055.08029,34617,3339.051961,32973,3455.307801,10768,1803.294762,35371,3066.618007,16508,1823.20158
South Carolina,88.95,1.66,561787,11803.54116,631579,6157.672937,69792,4534.222535,164386,5976.387705,152770,6447.896169,60143,3958.339551,130138,5550.906593,54350,3943.347943
South Dakota,91.97,3.41,102933,4288.409379,111923,2133.477209,8990,1366.139451,28760,2223.643856,23728,2155.993043,15411,1616.233894,27160,2032.979341,7874,1432.599037
Tennessee,89.79,1.49,777408,13665.53362,865801,4902.02499,88393,5204.696533,253867,7896.764211,200094,6903.08489,59123,4573.314772,184026,6094.555357,80298,4321.635107
Texas,86.67,0.79,3447694,32833.57229,3977864,10270.60553,530170,13656.76993,1012112,16991.91367,980973,18832.17335,283712,9936.534456,852300,15057.749,318597,10449.7399
Utah,92.28,1.93,406490,9059.987859,440506,3372.57839,34016,3403.633647,107089,4981.319604,113675,5386.062105,47696,2973.969738,107626,3720.144218,30404,2361.398103
Vermont,91.56,4.55,64762,3388.814542,70733,1169.64952,5971,1154.129109,18679,1812.614686,13721,1754.332922,4844,901.6834256,20646,1778.427676,6872,1070.03271
Virginia,92.33,1.27,1082827,16060.15333,1172805,6559.124942,89978,5533.240371,255506,7611.151358,267440,8513.326318,95411,5277.025109,305837,8532.920954,158633,5183.091838
Washington,91.24,1.38,958369,15117.72721,1050364,4565.144686,91995,5279.756528,236086,7412.42693,248688,7840.934256,99983,4507.177054,262496,7331.674434,111116,6168.732285
West Virginia,90.66,2.93,197532,6822.72255,217874,2652.709558,20342,2427.812596,72249,3719.691519,50181,3887.560289,18046,1865.201866,38051,3168.418691,19005,2020.509342
Wisconsin,93.3,1.48,676867,11120.16911,725456,3155.608499,48589,3513.437491,173347,5303.783555,170394,6309.531361,89551,4026.864413,185663,5470.116087,57912,3095.165262
Wyoming,91.66,4.13,75566,4292.494729,82440,2849.975614,6874,1641.293392,21032,2267.132991,21905,2301.266173,10648,1666.280289,16392,1915.247504,5589,1243.032582
Nation,89.7,0.23,39374773,105951.3921,43897832,30828.2982,4523059,37644.7236,10541953,51127.54185,10007806,59755.20993,3854506,35318.77547,10461921,50663.8545,4508587,35024.91675
