,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Iowa,93.22,0.81,1461094,13436.98631,1567375,4820.340963,106281,4184.340689,449215,7900.454607,356567,6917.444326,205569,5814.973173,314696,6568.770357,135047,5248.673642
Kansas,91.05,0.88,1337594,13618.08221,1469000,4738.669434,131406,4815.592072,364469,7788.640061,365931,7469.67188,132463,5000.722148,310298,6649.541112,164433,5620.91247
Kentucky,87.33,0.73,2027766,17667.99666,2321835,5649.886636,294069,7740.032752,781007,10125.59258,511015,9790.724079,190911,6445.979057,332327,8364.155367,212506,6401.315958
Louisiana,85.22,0.79,2052779,20446.56502,2408855,8913.509242,356076,9352.260422,812113,12654.87238,540505,10985.02936,147565,6140.316849,370638,8599.834126,181958,6513.170887
Maine,93.83,1.3,676567,9645.073665,721044,2519.495584,44477,3068.133798,243854,5735.627254,151786,5002.79312,74591,3442.789276,138372,4431.907603,67964,3556.01167
Maryland,90.81,0.66,2914346,21796.08905,3209454,5607.586914,295108,9011.090722,797672,12388.21242,655117,11362.47279,220904,7129.940673,685800,10718.34843,554853,9634.05792
Massachusetts,91.8,0.63,3300645,23002.38246,3595578,3794.395999,294933,8140.47689,862279,13294.49807,624111,11165.41276,290690,7846.278927,882879,12426.36327,640686,10637.47479
Michigan,91.04,0.45,4714660,24170.27828,5178395,6245.257481,463735,9392.367327,1483503,14042.46054,1294065,13946.11089,505214,9267.644091,907438,11341.58309,524440,8657.96662
Minnesota,94.04,0.62,2699598,18424.27217,2870834,5298.364087,171236,5228.946261,670233,9512.461774,660827,9421.349373,347915,7628.0078,697973,10652.40668,322650,6512.371074
Mississippi,85.03,1.01,1283244,16868.47133,1509244,8382.35146,226000,7472.841494,453093,10024.07432,361446,9682.989931,145208,6033.247467,211382,6958.730416,112115,5216.312682
Missouri,89.94,0.64,2823542,20902.77439,3139316,6894.941479,315774,7817.466725,928680,12175.64746,745896,11604.82822,252964,7164.638163,575780,10097.98742,320222,8162.601669
Montana,94.09,1.53,496982,8504.419381,528185,2878.776476,31203,2489.573658,148643,4874.598342,137962,4476.052949,49758,2980.877388,113987,4369.255314,46632,2922.063997
Nebraska,91.35,0.97,867725,9926.995417,949936,4018.794844,82211,3857.190169,228916,5423.302315,230779,5509.872594,107774,3864.859635,203667,5276.666277,96589,3917.953675
Nevada,85.21,1.08,1262153,16307.65474,1481156,3721.323824,219003,7425.874359,420792,9778.786837,396105,9684.947496,116526,5418.844434,224515,6900.862555,104215,4680.45564
New Hampshire,93.31,1.37,677197,10348.73649,725786,3019.485552,48589,3692.063921,201965,6011.199215,136380,5318.909193,74703,3670.16689,172242,5495.767007,91907,4074.734715
New Jersey,90.52,0.54,4344262,26034.09334,4799038,3995.997497,454776,9677.435404,1282069,15402.42737,863410,12986.27314,326578,8590.309424,1181231,13270.26827,690974,11910.55099
New Mexico,86.01,1.13,916925,12850.75947,1066072,5099.50027,149147,5768.827871,281007,7136.572146,261832,7275.452426,97853,5092.258242,164079,6021.892477,112154,4590.79296
New York,87.38,0.37,9219045,39567.33573,10550300,6899.534839,1331255,17205.82058,2635400,23356.52089,1825775,19362.2508,989502,14690.66564,2200271,20948.73719,1568097,17441.40648
North Carolina,87.26,0.54,4487812,29314.57878,5143183,10944.42118,655371,13173.67944,1326149,17088.2766,1184557,15564.45849,491645,11520.22495,998633,14635.48035,486828,10043.0822
North Dakota,95.3,1.73,340156,6565.570044,356942,2386.792618,16786,1596.610472,91355,3741.691329,85866,3409.013054,51622,2763.099709,78722,3376.944181,32591,2635.902312
Ohio,91.01,0.47,5518043,29198.15986,6063148,7153.811571,545105,9914.336337,1973010,17210.43866,1329396,15855.98467,559311,10920.09995,1067474,13809.75065,588852,10626.54883
Oklahoma,88.18,0.68,1720743,14045.58044,1951449,5085.785682,230706,5780.705407,598389,8526.754306,480269,7960.670763,157304,4868.495969,334792,6468.995672,149989,4647.743539
Oregon,90.32,0.85,1887856,18623.0668,2090079,5919.181869,202223,7649.194925,492083,10479.89494,563858,10492.43904,186615,6769.123577,410979,8998.645342,234321,6690.289231
Pennsylvania,91.6,0.43,6150136,29900.46217,6714387,7766.278581,564251,11298.94283,2304745,18298.43971,1182107,14458.33943,614782,9684.823024,1274116,14283.42637,774386,11849.42691
Rhode Island,89.01,1.69,492622,9513.316614,553446,2010.966186,60824,3867.985134,146935,5777.297638,106499,4740.539315,54577,3369.438826,113641,4640.575934,70970,3581.841007
South Carolina,87.31,0.79,2145173,20582.45044,2456840,7735.907445,311667,8182.969082,713364,12481.47792,546048,10842.71336,245583,8039.012315,416723,9471.231229,223455,6989.243092
South Dakota,93.05,1.62,393793,7249.582471,423200,2519.402509,29407,2389.074926,130799,4153.034914,95429,3757.601363,49130,2836.861294,83710,3538.916642,34725,2642.967083
Tennessee,87.99,0.66,3005651,23408.66547,3415752,7671.773654,410101,9567.042542,1110300,14516.56285,759104,12160.66581,250219,8139.280189,585335,11315.74655,300693,7898.224801
Texas,82.62,0.35,11197107,48945.52105,13552657,13897.75349,2355550,23109.40205,3341969,26495.32944,3171818,29160.30929,961084,17702.39967,2512262,24245.49837,1209974,17356.98004
Utah,91.22,0.95,1249198,13489.20876,1369453,3875.932017,120255,5459.615371,303875,7300.483135,378215,8012.740043,143605,5220.720161,286687,6820.099559,136816,5078.343726
Vermont,93.61,1.66,314963,5762.529219,336459,1572.197825,21496,1702.986201,99337,3139.064192,57588,2707.701608,32155,2162.784317,79978,3044.289244,45905,2331.018447
Virginia,90.19,0.52,4006823,25046.42731,4442633,10152.54727,435810,10102.6893,1076991,13921.96786,919520,13437.58996,346456,8919.686486,979809,13175.2011,684047,10469.3985
Washington,91,0.61,3401915,23431.46344,3738241,6256.505894,336326,8485.581241,844572,13042.76639,958684,13326.15154,392317,9715.758076,789255,11768.2978,417087,9012.732327
West Virginia,87.87,1.17,865629,11921.47248,985097,3540.082061,119468,5006.09069,391467,7975.715078,200759,6017.343184,72485,4243.901271,124199,5001.859554,76719,3725.114495
Wisconsin,92.64,0.61,2807162,19398.7221,3030140,6056.599624,222978,6005.706869,894685,10212.23653,674096,10585.72468,350416,7567.888081,596093,9545.160659,291872,7417.904488
Wyoming,93.12,2.21,284845,7229.018191,305892,2716.377551,21047,2271.109421,87413,4286.061245,84180,3991.376705,34480,2601.072663,54512,3502.463704,24260,2249.785768
Nation,88.01,0.09,145741706,160057.4044,165591021,51116.2943,19849315,66506.11395,44058025,84237.2909,36439822,88102.08984,14518398,57699.811,32410007,84099.12295,18315454,62088.93961
