,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Alabama,86.33,0.77,2166226,20658.76538,2509287,8446.752098,343061,9442.98438,758871,12817.81709,577924,11609.63109,211278,7269.37769,401975,9384.413034,216178,6674.63999
Alaska,93.18,1.84,375045,8153.473493,402475,3666.720333,27430,2397.816715,112712,4562.135465,113300,4655.982066,35588,2934.772734,70652,3817.451637,42793,2903.492724
Arizona,86.22,0.71,2853261,23907.16428,3309378,4874.726146,456117,9888.530578,773016,12725.17843,866491,13753.65322,300600,8255.529904,593215,11581.56604,319939,8667.146647
Arkansas,86.87,1,1310246,16102.06297,1508275,6353.850801,198029,6623.368252,515245,9945.409997,353046,8584.899009,106304,5105.226538,225180,7100.062676,110471,5022.210569
California,82.27,0.27,16603167,54618.53702,20180391,8232.804322,3577224,24434.91565,4054754,29989.57959,4537886,29744.76122,1636522,19674.25269,4132623,27260.11445,2241382,22620.15294
Colorado,91.06,0.7,2580437,20711.14417,2833715,6159.593168,253278,7551.850435,584183,11456.37377,651179,11345.67327,254402,7479.270218,708540,11071.50256,382133,8717.300155
Connecticut,92.02,0.84,1772277,16583.59448,1925954,3536.942748,153677,5962.219721,501941,9589.359259,356366,8640.574113,154325,5652.140656,428983,8864.59012,330662,7418.954643
Delaware,90.06,1.74,430325,8578.326585,477799,2296.501687,47474,3326.016987,146977,4923.358,99962,4604.659162,35796,2861.01503,92711,4355.387583,54879,3336.856305
Florida,88.25,0.44,8820851,44907.22498,9994920,10666.57546,1174069,20702.16798,2887296,25687.35814,2127081,24278.20271,1037381,17907.52691,1837753,22465.0493,931340,15397.58955
Georgia,86.82,0.54,4570547,30463.26686,5264482,11837.04676,693935,13953.1265,1434606,17549.51293,1168441,17012.78507,405741,11210.43135,1001469,15925.03309,560290,10942.96678
Hawaii,92.99,1.35,689829,10214.85453,741858,2232.57094,52029,3458.174374,203228,6067.027114,170502,5575.944046,84152,4094.329127,155608,4758.129675,76339,3619.367624
Idaho,90.9,1.42,728794,12207.07934,801754,4790.296024,72960,4588.614061,215582,6931.08195,223947,6769.057763,80810,4728.590382,144424,5982.62058,64031,4054.57655
Illinois,89.45,0.43,6139350,30596.63346,6863183,7607.131522,723833,11986.06332,1711321,17897.9496,1509719,16337.54538,576024,10977.97987,1483173,15938.38016,859113,12331.68699
Indiana,89.24,0.62,3024643,21815.2917,3389519,6888.379418,364876,8599.435214,1121489,13081.17101,737448,11286.1314,317157,8449.436845,569006,10062.95851,279543,7753.993036
