,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Mississippi,84.95,1.02,1288487,17276.59466,1516689,9135.669598,228202,8380.862724,458528,10032.91089,367029,8913.431101,144779,6466.96343,207529,6966.904047,110622,5292.71197
Missouri,90.69,0.71,2846716,23192.39612,3138925,7265.108396,292209,8451.471588,925562,13399.91914,740371,11516.84275,270708,7832.037794,586473,10156.2435,323602,7823.147704
Montana,94.03,1.61,492817,8947.002962,524089,3094.523873,31272,2633.664367,145477,4539.37,142752,4902.508338,50831,3033.103032,107761,4153.444233,45996,2992.921817
Nebraska,90.82,1.11,863338,11153.00265,950580,4072.891725,87242,4440.813214,225023,5340.573471,227664,5823.666371,106578,4253.169524,205570,5324.460818,98503,3938.695088
Nevada,85.56,1.13,1276672,17184.37107,1492052,3579.560867,215380,7893.251675,422530,9714.083642,390175,9620.898035,127391,6069.569754,229679,6950.878362,106897,4819.037456
New Hampshire,94.45,1.59,681564,11863.23518,721608,3252.315483,40044,3277.714905,202255,6403.408545,144194,5615.258943,73805,4063.44386,171685,5775.502489,89625,4281.77183
New Jersey,90.68,0.61,4354822,29799.79503,4802298,4444.606282,447476,11085.75036,1278283,16035.35191,843912,13292.39384,337835,9199.591893,1191600,15079.95912,703192,11923.50121
New Mexico,85.86,1.26,905513,14120.2313,1054689,5618.637824,149176,6421.997586,277481,7604.184374,260360,7638.622913,92271,4907.935411,162704,6204.226382,112697,4541.860522
New York,87.64,0.42,9280436,44672.53045,10589467,7382.840781,1309031,19123.08626,2646536,23633.77149,1762856,19903.93373,1014119,15652.84227,2252650,21107.69966,1604275,18718.08719
North Carolina,87.46,0.57,4516023,31623.58795,5163392,13081.90758,647369,13763.25997,1288245,16957.67785,1179818,16812.46115,496937,10481.04565,1027476,13994.24846,523547,11141.7377
North Dakota,94.66,1.97,345749,7697.788449,365265,2918.395107,19516,1953.022785,93108,3817.540962,85280,4039.844799,58385,3108.795587,80826,3538.964538,28150,2484.5728
Ohio,90.96,0.52,5505893,32517.84791,6053291,7742.594397,547398,11185.87592,1938142,18798.43169,1298424,15708.04631,568058,11299.70531,1089756,14961.82766,611513,10283.33861
Oklahoma,87.79,0.78,1719473,16032.66562,1958510,5457.876419,239037,6675.179698,610193,9028.879332,469339,8325.044324,155240,4842.072593,337454,7479.114587,147247,5180.397668
Oregon,90.04,0.9,1890438,19750.71794,2099447,6476.952601,209009,7911.096637,481342,10095.02551,559726,10829.96334,191703,6386.615692,426021,9200.332711,231646,6742.271946
Pennsylvania,91.43,0.48,6143577,32706.17647,6719538,7203.498872,575961,11749.09124,2269005,18791.84057,1152519,15404.82058,605527,10978.33275,1326595,14907.60333,789931,11682.96979
Rhode Island,89.07,1.87,496222,10677.1787,557092,2526.87099,60870,4305.703427,140652,5627.497312,111779,5298.443451,51634,3640.626457,121434,5235.214131,70723,3687.58566
South Carolina,87.55,0.82,2165646,21630.3294,2473709,8219.406487,308063,9453.09251,704554,11383.77644,551154,11209.13395,241519,7575.162044,435158,10102.20709,233261,7293.725523
South Dakota,93.49,1.79,398689,8171.521523,426456,3069.190447,27767,2282.467086,121494,4164.912004,98717,4066.7428,57948,3292.634052,87116,3981.973882,33414,2488.236323
Tennessee,88,0.71,3009320,25253.9231,3419845,7666.602181,410525,10601.64728,1099528,14701.9129,752337,12834.91741,257289,8339.08778,582671,10795.28022,317495,8414.322551
Texas,83.13,0.39,11394853,54568.90231,13707129,14678.71663,2312276,27056.84461,3386772,29835.64377,3153878,28761.666,958405,16669.11527,2628208,24933.59539,1267590,18995.32695
Utah,91.76,1.08,1273464,15494.76644,1387769,4480.54115,114305,5660.200615,305820,8000.301682,390395,8297.058575,141202,5344.663039,298101,7349.518828,137946,4965.977145
Vermont,93.4,1.83,311500,6337.364673,333516,1836.056099,22016,2082.138324,99517,3178.518995,60125,3112.377066,29566,2137.73221,76136,3055.994601,46156,2542.305056
Virginia,90.54,0.62,4034665,29558.54709,4456415,11153.93904,421750,10906.73673,1057134,16064.66831,922381,14385.387,354209,8691.932984,1011451,14258.90343,689490,11394.2421
Washington,90.64,0.72,3403702,27630.31954,3755338,6982.812471,351636,10283.33171,832190,13654.85068,927005,14909.3639,386979,9016.135037,822996,13270.30885,434532,9864.009884
West Virginia,87.45,1.28,851793,12942.6393,974012,4048.120058,122219,5373.382361,381114,8159.95435,193999,6294.375982,77157,4302.701593,122412,5160.069089,77111,4020.986695
Wisconsin,92.5,0.67,2803256,21045.64418,3030684,6310.199204,227428,6934.445327,885658,11169.12964,672955,10826.09191,348259,7576.847761,607935,9739.121316,288449,6978.990615
Wyoming,94.86,2.39,290599,7841.228794,306360,2973.052472,15761,1959.434357,83414,4051.099974,86328,4059.37372,36346,2975.488699,56887,3690.731228,27624,2473.845791
Nation,88.09,0.1,146439018,180738.6804,166246625,54356.32383,19807607,74106.55611,43843773,95105.80236,36174067,90449.13913,14710826,58458.69384,32970178,88830.16548,18740174,64281.35804
