,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Alabama,86.59,0.83,2168246,22173.49923,2503909,9138.31943,335663,9772.100235,751131,13034.72577,574831,11153.57606,226983,7979.790473,397545,9068.054257,217756,7172.940053
Alaska,93.02,1.93,369340,8301.605206,397075,3480.683697,27735,2421.619086,112993,4577.607017,111544,4251.683314,34681,2808.290227,74634,3867.723491,35488,2653.219365
Arizona,85.95,0.76,2858784,25769.83161,3326013,5371.706991,467229,11004.88741,794871,13659.20752,837076,13999.40563,310129,9180.963021,593122,11299.8438,323586,8339.685905
Arkansas,86.63,0.98,1305509,16418.31182,1506961,8229.308294,201452,7593.034044,521674,9372.995626,350117,8803.472951,106032,5357.332172,217834,7106.331684,109852,5000.582166
California,82.41,0.29,16772153,60096.16259,20353124,9068.21118,3580971,30484.3013,4162926,29951.70579,4546189,32037.29706,1640129,20449.68941,4119666,28655.03232,2303243,21183.8382
Colorado,90.96,0.77,2609981,22807.03762,2869292,6457.654837,259311,9173.010793,590610,11220.70158,653960,11892.76898,256932,7450.014832,721758,11300.09557,386721,8344.098873
Connecticut,91.67,1,1760786,19559.82326,1920809,3645.4964,160023,7123.586807,490894,10384.08426,351653,8911.968133,154945,6389.235557,433023,9628.005401,330271,7862.155239
Delaware,89.67,1.9,432890,9409.492016,482785,2269.821799,49895,3524.312273,143087,5251.71572,97275,4611.355007,39392,3203.877495,90684,4248.985173,62452,3372.643029
Florida,88.34,0.47,8906656,48655.20682,10082713,13240.44361,1176057,20462.20342,2880789,26543.46426,2134917,23736.71291,1077760,18398.88796,1878978,22387.65452,934212,16112.60261
Georgia,87.11,0.62,4600842,35109.13827,5281399,13793.29526,680557,14824.16197,1457834,19518.48319,1159882,17696.2259,423792,11407.47369,988674,16063.2973,570660,12262.30064
Hawaii,93.5,1.53,691695,11551.44433,739795,2427.670694,48100,3196.320384,191031,5835.882967,173233,5998.794462,85442,4416.527256,164437,5283.560353,77552,3996.383115
Idaho,90.26,1.52,725495,12982.62812,803785,4923.222217,78290,4457.633453,213545,6770.917737,215148,7171.067633,80382,4371.411557,152446,5923.197785,63974,4133.47118
Illinois,89.37,0.5,6124831,34518.48353,6853577,6892.421998,728746,13368.20119,1694733,17264.54868,1484667,17327.34051,579411,11130.51387,1481523,16792.52739,884497,13687.47676
Indiana,89.21,0.67,3030387,23934.40054,3397059,7693.993436,366672,9540.506433,1088954,13953.20221,761726,11908.58976,313771,8055.810636,576605,11083.4108,289331,6972.165159
Iowa,92.97,0.89,1458340,14920.66426,1568645,5444.763448,110305,4758.287507,452449,8069.341051,350790,7354.519767,202912,5763.007461,314026,7001.806767,138163,4602.764713
Kansas,90.89,0.97,1332605,15108.11196,1466220,5669.96843,133615,5697.329287,348713,7934.135807,371280,7947.145085,129868,4871.20755,320613,7220.495759,162131,5126.71425
Kentucky,87.11,0.81,2018897,19550.34941,2317595,6400.018906,298698,8257.379124,746956,11176.52929,508880,10036.84736,202543,6638.492901,341669,8266.595853,218849,6645.062453
Louisiana,84.92,0.83,2061873,21724.94679,2428015,9198.898847,366142,10211.44843,799868,13591.1239,544156,10990.33302,147933,6259.914217,389974,9280.679016,179942,6414.804362
Maine,93.96,1.46,674601,10771.94017,717978,2783.570908,43377,3086.68058,233956,5992.075934,154113,5194.344328,79705,4007.400279,137247,4821.327825,69580,3720.759197
Maryland,90.67,0.75,2923956,24682.77717,3224833,5888.707074,300877,9253.479129,784797,13193.48896,657347,12066.61212,217730,7697.988114,703522,11444.34778,560560,9966.74937
Massachusetts,91.94,0.73,3323434,26670.16237,3614698,4483.323656,291264,8705.816504,867217,14684.28793,596117,11012.53736,293611,8693.223165,898440,13160.36166,668049,11208.30148
Michigan,91.08,0.51,4698544,27257.74868,5158512,7048.046964,459968,9826.470221,1425268,14289.26849,1293563,14470.33842,512498,9020.441065,922838,12761.61197,544377,9229.511255
Minnesota,93.76,0.67,2695328,19849.87992,2874615,5393.791894,179287,6496.065117,663844,9714.047303,649697,9892.206175,348061,7205.65292,703828,9926.37386,329898,7165.53857
