,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Hawaii,93.99,1.47,701663,11239.19147,746525,2754.010349,44862,3289.556809,206759,6042.929505,170248,5367.498579,85785,4267.038669,163670,5461.077916,75201,3600.193884
Idaho,90.51,1.61,733297,13701.9072,810214,4713.941981,76917,4817.858445,219669,7382.872612,224296,7723.422104,82190,4618.390304,142904,5976.453463,64238,4066.531569
Illinois,89.73,0.48,6147788,33713.35467,6851222,7797.401362,703434,12850.2635,1688315,17027.69723,1471520,17542.11743,586529,10746.13959,1502236,16540.43724,899188,12241.58266
Indiana,89.73,0.68,3051944,24036.49186,3401422,7566.15173,349478,9400.149839,1087137,13246.21637,744614,12144.73853,327136,8656.893034,597622,10842.78816,295435,7892.285284
Iowa,93.43,0.89,1468765,14967.92387,1572106,5786.392227,103341,4851.310132,442503,7534.158015,345975,7354.61311,208269,5706.340596,325093,7033.210007,146925,5581.801501
Kansas,91.05,0.96,1333010,14810.50941,1463988,5272.069707,130978,5226.968146,357067,7776.028421,357312,7705.6356,134055,5129.453382,318378,6790.276283,166198,5204.671652
Kentucky,87.31,0.78,2020413,18913.96207,2314159,6565.850592,293746,7930.745236,765353,10779.61748,504025,9412.645484,203297,6787.451142,330928,8102.760888,216810,6419.944392
Louisiana,85.18,0.82,2069484,21514.52653,2429518,9727.939504,360034,10072.3668,803134,12718.45828,545715,11350.89001,147218,6642.735205,392045,9177.789712,181372,6626.855363
Maine,93.86,1.43,672829,10574.82312,716843,2764.950452,44014,3049.587677,223169,5767.628629,153476,5236.894022,78348,3854.254273,149604,5120.259661,68232,3172.372929
Maryland,90.77,0.72,2941639,23998.21685,3240642,5939.909174,299003,9221.146078,784554,12504.94442,637019,11773.33457,228562,7220.958524,713884,11436.60054,577620,9899.055308
Massachusetts,91.55,0.72,3331253,26503.08103,3638774,4944.824466,307521,9224.65143,839428,13958.13838,585266,11488.03229,294445,7917.922771,932285,13543.98457,679829,11378.74211
Michigan,91.41,0.5,4706893,26257.78121,5149458,6175.560137,442565,9565.777752,1421196,13937.51667,1263463,13934.04604,529151,9539.431849,930598,11169.37398,562485,9235.98338
Minnesota,93.87,0.66,2717326,19687.61362,2894750,5461.683898,177424,6025.562214,662940,9525.444504,637945,9410.767981,362012,7752.044827,712102,9719.954321,342327,7330.332325
Mississippi,85.11,1.06,1296499,17605.14269,1523397,8359.023388,226898,7850.191781,454444,10107.70652,364292,9328.262378,148594,5968.957865,210182,7046.395249,118987,5956.3995
Missouri,90.46,0.73,2844959,23853.61593,3144877,7176.482983,299918,8979.616696,917604,13252.26366,728688,12101.84759,267199,7994.45364,592922,10804.98158,338546,8139.95516
Montana,93.69,1.65,492508,9239.887932,525697,3388.713768,33189,2671.843184,152462,5241.215126,131765,4727.537414,48796,3129.95607,108930,4236.028092,50555,2795.536442
Nebraska,90.95,1.09,867705,10920.75318,954024,3819.05525,86319,4290.61907,224619,5545.975568,223387,5676.234491,113915,4042.87608,212682,5040.812435,93102,3811.919464
Nevada,85.09,1.05,1292662,16346.5857,1519084,4026.426828,226422,7936.382362,425947,9188.100076,391569,8694.698845,126131,5781.302189,234913,7194.299549,114102,4691.534077
New Hampshire,93.91,1.51,677889,11239.90645,721857,3012.843673,43968,3134.910366,197436,5783.922199,140021,5354.166228,78096,4237.113168,166619,5383.719068,95717,4156.571424
New Jersey,91.02,0.6,4383323,29349.51333,4815806,4607.33806,432483,10539.11011,1258973,15657.69693,855102,13483.52057,338624,9183.650581,1220765,14505.09062,709859,11818.96954
New Mexico,85.3,1.22,900582,13809.89406,1055736,5766.194239,155154,6576.29607,280138,7845.471688,255549,7076.019079,93503,4975.384608,162805,5707.426127,108587,4665.03344
New York,87.77,0.4,9341789,43020.82849,10643932,7093.485814,1302143,18318.00349,2639947,21810.94331,1771383,19155.7358,1006272,14941.62571,2299305,21402.71744,1624882,18077.7136
North Carolina,87.99,0.56,4576256,31135.00734,5200788,12738.27163,624532,12789.23098,1299871,16751.92852,1181373,15937.12364,521773,11615.26349,1043853,14266.53707,529386,9814.338337
North Dakota,94.73,1.92,354456,7689.972237,374171,2939.85748,19715,1904.59917,96487,3597.409902,88853,4024.953913,59056,3283.51458,79877,3687.811682,30183,2369.100673
Ohio,91.02,0.5,5516575,31208.86352,6060592,8058.476283,544017,11415.83891,1913280,17286.44938,1285787,16041.92517,579185,10844.90447,1100560,13293.43093,637763,11113.10974
Oklahoma,88.17,0.76,1735379,15790.00548,1968317,5620.092259,232938,5874.433249,601508,8719.887327,482967,7987.890147,158898,5383.941586,337492,7380.744136,154514,5100.905606
Oregon,90.05,0.91,1902560,19981.48318,2112731,6219.208471,210171,8377.062492,487041,10515.22767,555381,10946.81255,193245,6585.346232,428566,8892.784041,238327,6812.38277
Pennsylvania,91.41,0.47,6147394,32132.48895,6724766,7482.643517,577372,12172.86412,2262635,19317.13537,1141836,14228.67833,607137,10414.1086,1330040,14373.67284,805746,11909.39591
Rhode Island,88.39,1.71,493844,9768.756113,558691,2192.703582,64847,3925.974147,154504,5531.636467,109812,4535.849314,51131,3185.241906,108447,4464.611293,69950,3765.254971
South Carolina,87.8,0.86,2194460,22993.06435,2499346,9204.028194,304886,9554.418454,739795,13254.26214,537936,11278.47175,241423,8607.131171,440725,9757.496656,234581,7517.324657
South Dakota,93.79,1.76,399660,7999.222587,426134,2953.330154,26474,2269.020053,120857,4385.606457,95186,3918.97729,55963,2918.289568,93396,3908.945254,34258,2366.298375
Tennessee,88.3,0.7,3036070,25233.98847,3438260,8164.351658,402190,10279.43802,1124106,14942.18953,734306,12468.96335,256817,8205.822019,605594,11100.83213,315247,8212.558067
Texas,83.37,0.38,11664519,54357.71242,13991875,15042.89889,2327356,25851.6796,3470600,29598.52944,3190903,28516.95697,1006051,18082.80363,2666791,24771.37903,1330174,18023.93167
Utah,91.48,1.04,1289577,15106.54835,1409755,3939.923603,120178,5684.836937,316608,7538.053993,382413,8000.320494,150138,5897.311506,300552,6946.504157,139866,4934.390945
Vermont,93.64,1.91,310518,6563.984918,331624,1818.50653,21106,2039.507539,99766,3488.789618,63754,3193.562587,28045,1915.266561,74535,3035.649025,44418,2798.569635
Virginia,90.42,0.59,4047787,28291.4143,4476449,11004.11823,428662,10882.32167,1055520,14207.40025,908212,13560.34915,349271,9246.610082,1008247,14093.85522,726537,11425.15991
Washington,90.87,0.68,3445677,26638.6866,3791968,7568.895098,346291,9675.827665,828266,13127.11385,924724,13523.54539,409674,9956.658174,830373,13186.48896,452640,9021.845321
West Virginia,88.49,1.23,856006,12342.52782,967295,3774.37465,111289,5344.890457,392169,7389.994317,187019,6374.47739,73703,4222.278532,128962,5040.374391,74153,3722.768459
Wisconsin,92.66,0.65,2800563,20136.17998,3022442,5277.394054,221879,6514.749803,876099,10883.61218,651142,9516.300857,357819,7381.558778,621409,9793.047891,294094,6786.866066
Wyoming,93.22,2.17,287713,7566.048969,308630,3754.406744,20917,2574.485774,81887,3998.92173,87451,3958.102576,35905,2847.574231,56277,3459.561822,26193,2347.317405
Nation,88.27,0.1,147867747,180177.6759,167510731,53565.43287,19642984,74424.83619,44135232,96568.02215,36011451,88729.29315,14935196,60312.50132,33565969,84832.18415,19219899,66570.46816
