,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Alabama,86.86,0.82,2180327,21912.79188,2510254,8797.803987,329927,9470.94404,766472,12400.12411,569112,10786.04441,222487,7958.608295,398958,9858.226159,223298,7038.788745
Alaska,94.1,1.87,371950,7981.383464,395250,3213.433833,23300,1963.520563,113610,4175.498533,114762,4388.344107,34544,2767.405644,72518,3471.346857,36516,2702.100479
Arizona,86.15,0.76,2899364,26044.9833,3365469,4808.978686,466105,10896.85583,790251,14040.7023,870928,14360.89409,307836,8783.918431,597133,11375.6115,333216,8270.598225
Arkansas,87.6,1.02,1316954,16776.88049,1503402,7610.168855,186448,7112.589191,514176,9594.479454,355280,8947.539606,108633,5350.830403,226330,7486.222879,112535,4967.524434
California,82.85,0.29,17121213,59922.50401,20664200,9326.323606,3542987,28172.92567,4264914,31336.54108,4546763,30624.35767,1644354,19584.25225,4284384,28662.57117,2380798,21582.17957
Colorado,90.95,0.78,2642005,23588.39619,2904891,6677.449513,262886,8518.617493,604025,12423.91883,638994,11319.44199,255739,7898.737874,736023,11790.72356,407224,8515.731736
Connecticut,91.75,0.93,1758259,18265.0421,1916290,4018.166622,158031,7154.018871,494369,9346.880121,339998,9045.986569,152762,5650.219288,444847,8699.842182,326283,7536.941687
Delaware,89.85,1.86,437181,9202.679773,486584,1733.873986,49403,3574.831744,141937,4883.003891,97013,4423.353027,41890,3281.973949,95915,4299.75383,60426,3467.03043
Florida,88.67,0.46,9088937,48630.72964,10250242,12156.93078,1161305,20689.99722,2949024,27822.794,2157188,23680.51135,1123597,18139.02751,1896547,21433.18751,962581,15545.65968
Georgia,87.15,0.63,4642757,35783.99617,5327538,14012.92671,684781,14936.74647,1456675,20009.79837,1159688,18557.0295,405927,10664.72358,1034598,16435.51393,585869,12323.82084
